state,district,avg_NBP_GJ,avg_CBG_tonnes,avg_revenue_crore,BPS
Punjab,Sangrur,13864917.634615384,18537.90992307692,85.27438564615385,100.0
Punjab,Ludhiana,11887873.038461538,15946.427538461538,73.35356667692307,85.0
Haryana,Karnal,10536237.25,14308.525,65.819215,74.8
Punjab,Patiala,10534327.057692308,14044.154384615385,64.60311016923077,74.7
Punjab,Bathinda,10492157.711538462,13740.430846153846,63.2059818923077,74.4
Haryana,Kaithal,9811012.75,13488.475,62.046985,69.3
Haryana,Sirsa,10187773.75,13391.455,61.600693,72.1
Haryana,Jind,9647695.75,12975.655,59.688013,68.0
Punjab,Firozepur,9635836.26923077,12773.411538461536,58.757693076923076,67.9
Haryana,Fatehabad,9385876.5,12665.73,58.262358,66.0
Punjab,Muktsar,8892497.51923077,11700.511307692308,53.82235201538462,62.3
Punjab,Moga,8448376.326923076,11323.10469230769,52.08628158461538,58.9
Haryana,Hisar,8597858.5,11258.17,51.787582,60.1
Punjab,Tarn taran,7713244.0,10234.982153846153,47.0809179076923,53.4
Punjab,Amritsar,7616878.5,10054.506,46.2507276,52.6
Punjab,Fazilka,7723957.5,10031.91,46.146786,53.4
Punjab,Jalandhar,7435844.096153846,9918.743153846153,45.6262185076923,51.2
Punjab,Gurdaspur,7477404.846153846,9907.436,45.57420559999999,51.6
Punjab,Mansa,6947040.692307692,9097.20646153846,41.84714972307692,47.5
Haryana,Kurukshetra,6499262.0,9039.8,41.58308,44.1
Haryana,Sonipat,6057686.25,8125.425,37.376955,40.8
Punjab,Barnala,5503632.75,7364.582076923076,33.87707755384615,36.6
Punjab,Faridkot,5291213.442307692,7038.5996153846145,32.377558230769225,35.0
Haryana,Ambala,4825397.5,6642.79,30.556834,31.5
Haryana,Yamunanagar,4770823.75,6433.735,29.595181,31.0
Punjab,Hoshiarpur,4924081.884615385,6422.854307692308,29.545129815384616,32.2
Punjab,Kapurthala,4784482.365384615,6419.566999999999,29.530008199999994,31.1
Haryana,Rohtak,4105832.5,5501.65,25.30759,26.0
Punjab,Fatehgarh sahib,3875586.211538461,5191.499923076922,23.880899646153843,24.3
Haryana,Panipat,3814098.75,5157.075,23.722545,23.8
Haryana,Jhajjar,3558882.25,4694.305,21.593803,21.9
Haryana,Palwal,3356892.0,4379.76,20.146896,20.3
Punjab,Nawanshahr,3190520.173076923,4217.070846153846,19.398525892307692,19.1
Haryana,Bhiwani,2883245.75,3732.575,17.169845,16.7
Punjab,Malerkotla,2470362.125,3340.4525000000003,15.3660815,13.6
Punjab,Rupnagar,2429769.0576923075,3182.1316153846155,14.63780543076923,13.3
Haryana,Nuh,1937031.25,2472.085,11.371591,9.6
Punjab,S.a.s nagar,1846616.9615384615,2414.7792307692307,11.10798446153846,8.9
Punjab,Pathankot,1334870.25,1750.161,8.0507406,5.0
Haryana,Gurugram,1085680.75,1384.0749999999998,6.366744999999999,3.1
Haryana,Faridabad,1021000.75,1347.115,6.196729,2.6
Haryana,Charkhi Dadri,1029624.75,1322.475,6.083385,2.7
Haryana,Rewari,962788.75,1217.755,5.601673,2.2
Haryana,Mahendragarh,896087.5,1126.51,5.181946,1.7
Haryana,Panchkula,677253.5,901.67,4.147682,0.0
