state,district,year,crop,production_t
Punjab,Amritsar,2010 - 2011,Rice,503000.0
Punjab,Amritsar,2011 - 2012,Rice,482000.0
Punjab,Amritsar,2012 - 2013,Rice,544000.0
Punjab,Amritsar,2013 - 2014,Rice,518000.0
Punjab,Amritsar,2014 - 2015,Rice,505000.0
Punjab,Amritsar,2015 - 2016,Rice,513000.0
Punjab,Amritsar,2016 - 2017,Rice,574000.0
Punjab,Amritsar,2017 - 2018,Rice,677000.0
Punjab,Amritsar,2018 - 2019,Rice,537000.0
Punjab,Amritsar,2019 - 2020,Rice,598000.0
Punjab,Amritsar,2020 - 2021,Rice,617000.0
Punjab,Amritsar,2021 - 2022,Rice,659000.0
Punjab,Amritsar,2022 - 2023,Rice,644000.0
Punjab,Barnala,2010 - 2011,Rice,465000.0
Punjab,Barnala,2011 - 2012,Rice,459000.0
Punjab,Barnala,2012 - 2013,Rice,490000.0
Punjab,Barnala,2013 - 2014,Rice,500000.0
Punjab,Barnala,2014 - 2015,Rice,507000.0
Punjab,Barnala,2015 - 2016,Rice,511000.0
Punjab,Barnala,2016 - 2017,Rice,516000.0
Punjab,Barnala,2017 - 2018,Rice,565000.0
Punjab,Barnala,2018 - 2019,Rice,567000.0
Punjab,Barnala,2019 - 2020,Rice,525000.0
Punjab,Barnala,2020 - 2021,Rice,602000.0
Punjab,Barnala,2021 - 2022,Rice,551000.0
Punjab,Barnala,2022 - 2023,Rice,601000.0
Punjab,Bathinda,2010 - 2011,Rice,437000.0
Punjab,Bathinda,2011 - 2012,Rice,409000.0
Punjab,Bathinda,2012 - 2013,Rice,458000.0
Punjab,Bathinda,2013 - 2014,Rice,501000.0
Punjab,Bathinda,2014 - 2015,Rice,529000.0
Punjab,Bathinda,2015 - 2016,Rice,620000.0
Punjab,Bathinda,2016 - 2017,Rice,689000.0
Punjab,Bathinda,2017 - 2018,Rice,747000.0
Punjab,Bathinda,2018 - 2019,Rice,762000.0
Punjab,Bathinda,2019 - 2020,Rice,764000.0
Punjab,Bathinda,2020 - 2021,Rice,822000.0
Punjab,Bathinda,2021 - 2022,Rice,829000.0
Punjab,Bathinda,2022 - 2023,Rice,901000.0
Punjab,Faridkot,2010 - 2011,Rice,409000.0
Punjab,Faridkot,2011 - 2012,Rice,405000.0
Punjab,Faridkot,2012 - 2013,Rice,444000.0
Punjab,Faridkot,2013 - 2014,Rice,443000.0
