state,district,year,fire_count,mean_frp,fire_days,onset_doy,peak_week
Haryana,Ambala,2015,464,4.902823275862069,61,124,43
Haryana,Ambala,2016,541,5.273955637707949,69,103,42
Haryana,Ambala,2017,627,4.994768740031898,78,99,42
Haryana,Ambala,2018,1014,4.836074950690335,93,91,43
Haryana,Ambala,2019,1282,5.4753276131045245,81,92,43
Haryana,Ambala,2020,1109,5.040919747520289,77,114,43
Haryana,Ambala,2021,1411,4.6948688873139615,85,92,44
Haryana,Ambala,2022,791,4.9346396965866,83,94,43
Haryana,Ambala,2023,588,4.878503401360544,71,91,43
Haryana,Bhiwani,2015,91,6.629560439560439,37,99,18
Haryana,Bhiwani,2016,144,5.364583333333333,41,96,17
Haryana,Bhiwani,2017,121,5.377603305785124,43,99,18
Haryana,Bhiwani,2018,311,6.3724758842443725,56,98,18
Haryana,Bhiwani,2019,369,6.283631436314363,53,95,19
Haryana,Bhiwani,2020,278,6.056870503597122,62,93,20
Haryana,Bhiwani,2021,326,7.746717791411043,62,91,17
Haryana,Bhiwani,2022,205,7.072439024390244,50,91,17
Haryana,Bhiwani,2023,134,4.724328358208955,59,94,19
Haryana,Faridabad,2015,39,4.99974358974359,25,113,43
Haryana,Faridabad,2016,54,3.4114814814814816,32,97,44
Haryana,Faridabad,2017,48,5.504583333333334,31,93,18
Haryana,Faridabad,2018,89,4.637528089887641,47,98,17
Haryana,Faridabad,2019,123,3.7021951219512195,54,101,19
Haryana,Faridabad,2020,95,3.770947368421053,49,99,18
Haryana,Faridabad,2021,124,4.1043548387096775,61,92,17
Haryana,Faridabad,2022,80,3.394875,47,92,17
Haryana,Faridabad,2023,106,2.360377358490566,54,91,43
Haryana,Fatehabad,2015,3267,6.765283134374044,81,114,46
Haryana,Fatehabad,2016,4229,7.284849846299362,80,103,45
Haryana,Fatehabad,2017,3318,6.677585895117541,86,104,44
Haryana,Fatehabad,2018,5548,7.009170872386445,89,105,45
Haryana,Fatehabad,2019,3042,6.917432610124918,82,99,45
Haryana,Fatehabad,2020,2653,6.678254805880136,88,95,45
Haryana,Fatehabad,2021,4610,7.37609327548807,83,98,44
Haryana,Fatehabad,2022,2201,6.689218537028623,84,92,44
Haryana,Fatehabad,2023,1659,5.8011995177817965,82,96,18
Haryana,Gurugram,2015,27,3.6262962962962964,12,113,18
Haryana,Gurugram,2016,53,8.349622641509434,27,103,15
Haryana,Gurugram,2017,29,4.95896551724138,13,102,16
Haryana,Gurugram,2018,64,4.10390625,30,105,17
Haryana,Gurugram,2019,150,3.7310666666666665,32,101,18
Haryana,Gurugram,2020,44,5.586363636363637,20,115,18
Haryana,Gurugram,2021,85,4.079411764705882,24,91,15
