state,district,year,crop,production_t,RPR,residue_generated_t,burn_fraction,burned_t,recoverable_t
Punjab,Amritsar,2010 - 2011,Rice,503000.0,1.5,754500.0,0.8,603600.0,105629.99999999997
Punjab,Amritsar,2011 - 2012,Rice,482000.0,1.5,723000.0,0.8,578400.0,101219.99999999997
Punjab,Amritsar,2012 - 2013,Rice,544000.0,1.5,816000.0,0.8,652800.0,114239.99999999997
Punjab,Amritsar,2013 - 2014,Rice,518000.0,1.5,777000.0,0.8,621600.0,108779.99999999997
Punjab,Amritsar,2014 - 2015,Rice,505000.0,1.5,757500.0,0.8,606000.0,106049.99999999997
Punjab,Amritsar,2015 - 2016,Rice,513000.0,1.5,769500.0,0.8,615600.0,107729.99999999997
Punjab,Amritsar,2016 - 2017,Rice,574000.0,1.5,861000.0,0.8,688800.0,120539.99999999997
Punjab,Amritsar,2017 - 2018,Rice,677000.0,1.5,1015500.0,0.8,812400.0,142169.99999999994
Punjab,Amritsar,2018 - 2019,Rice,537000.0,1.5,805500.0,0.8,644400.0,112769.99999999997
Punjab,Amritsar,2019 - 2020,Rice,598000.0,1.5,897000.0,0.8,717600.0,125579.99999999997
Punjab,Amritsar,2020 - 2021,Rice,617000.0,1.5,925500.0,0.8,740400.0,129569.99999999997
Punjab,Amritsar,2021 - 2022,Rice,659000.0,1.5,988500.0,0.8,790800.0,138389.99999999994
Punjab,Amritsar,2022 - 2023,Rice,644000.0,1.5,966000.0,0.8,772800.0,135239.99999999997
Punjab,Barnala,2010 - 2011,Rice,465000.0,1.5,697500.0,0.8,558000.0,97649.99999999997
Punjab,Barnala,2011 - 2012,Rice,459000.0,1.5,688500.0,0.8,550800.0,96389.99999999997
Punjab,Barnala,2012 - 2013,Rice,490000.0,1.5,735000.0,0.8,588000.0,102899.99999999997
Punjab,Barnala,2013 - 2014,Rice,500000.0,1.5,750000.0,0.8,600000.0,104999.99999999997
Punjab,Barnala,2014 - 2015,Rice,507000.0,1.5,760500.0,0.8,608400.0,106469.99999999997
Punjab,Barnala,2015 - 2016,Rice,511000.0,1.5,766500.0,0.8,613200.0,107309.99999999997
Punjab,Barnala,2016 - 2017,Rice,516000.0,1.5,774000.0,0.8,619200.0,108359.99999999997
Punjab,Barnala,2017 - 2018,Rice,565000.0,1.5,847500.0,0.8,678000.0,118649.99999999997
Punjab,Barnala,2018 - 2019,Rice,567000.0,1.5,850500.0,0.8,680400.0,119069.99999999997
Punjab,Barnala,2019 - 2020,Rice,525000.0,1.5,787500.0,0.8,630000.0,110249.99999999997
Punjab,Barnala,2020 - 2021,Rice,602000.0,1.5,903000.0,0.8,722400.0,126419.99999999997
Punjab,Barnala,2021 - 2022,Rice,551000.0,1.5,826500.0,0.8,661200.0,115709.99999999997
Punjab,Barnala,2022 - 2023,Rice,601000.0,1.5,901500.0,0.8,721200.0,126209.99999999997
Punjab,Bathinda,2010 - 2011,Rice,437000.0,1.5,655500.0,0.8,524400.0,91769.99999999997
Punjab,Bathinda,2011 - 2012,Rice,409000.0,1.5,613500.0,0.8,490800.0,85889.99999999997
Punjab,Bathinda,2012 - 2013,Rice,458000.0,1.5,687000.0,0.8,549600.0,96179.99999999997
Punjab,Bathinda,2013 - 2014,Rice,501000.0,1.5,751500.0,0.8,601200.0,105209.99999999997
Punjab,Bathinda,2014 - 2015,Rice,529000.0,1.5,793500.0,0.8,634800.0,111089.99999999997
Punjab,Bathinda,2015 - 2016,Rice,620000.0,1.5,930000.0,0.8,744000.0,130199.99999999997
Punjab,Bathinda,2016 - 2017,Rice,689000.0,1.5,1033500.0,0.8,826800.0,144689.99999999994
Punjab,Bathinda,2017 - 2018,Rice,747000.0,1.5,1120500.0,0.8,896400.0,156869.99999999994
Punjab,Bathinda,2018 - 2019,Rice,762000.0,1.5,1143000.0,0.8,914400.0,160019.99999999994
Punjab,Bathinda,2019 - 2020,Rice,764000.0,1.5,1146000.0,0.8,916800.0,160439.99999999994
Punjab,Bathinda,2020 - 2021,Rice,822000.0,1.5,1233000.0,0.8,986400.0,172619.99999999994
Punjab,Bathinda,2021 - 2022,Rice,829000.0,1.5,1243500.0,0.8,994800.0,174089.99999999994
Punjab,Bathinda,2022 - 2023,Rice,901000.0,1.5,1351500.0,0.8,1081200.0,189209.99999999994
Punjab,Faridkot,2010 - 2011,Rice,409000.0,1.5,613500.0,0.8,490800.0,85889.99999999997
Punjab,Faridkot,2011 - 2012,Rice,405000.0,1.5,607500.0,0.8,486000.0,85049.99999999997
Punjab,Faridkot,2012 - 2013,Rice,444000.0,1.5,666000.0,0.8,532800.0,93239.99999999997
Punjab,Faridkot,2013 - 2014,Rice,443000.0,1.5,664500.0,0.8,531600.0,93029.99999999997
Punjab,Faridkot,2014 - 2015,Rice,421000.0,1.5,631500.0,0.8,505200.0,88409.99999999997
Punjab,Faridkot,2015 - 2016,Rice,439000.0,1.5,658500.0,0.8,526800.0,92189.99999999997
Punjab,Faridkot,2016 - 2017,Rice,468000.0,1.5,702000.0,0.8,561600.0,98279.99999999997
Punjab,Faridkot,2017 - 2018,Rice,511000.0,1.5,766500.0,0.8,613200.0,107309.99999999997
Punjab,Faridkot,2018 - 2019,Rice,477000.0,1.5,715500.0,0.8,572400.0,100169.99999999997
Punjab,Faridkot,2019 - 2020,Rice,436000.0,1.5,654000.0,0.8,523200.0,91559.99999999997
Punjab,Faridkot,2020 - 2021,Rice,477000.0,1.5,715500.0,0.8,572400.0,100169.99999999997
Punjab,Faridkot,2021 - 2022,Rice,503000.0,1.5,754500.0,0.8,603600.0,105629.99999999997
Punjab,Faridkot,2022 - 2023,Rice,519000.0,1.5,778500.0,0.8,622800.0,108989.99999999997
Punjab,Fatehgarh sahib,2010 - 2011,Rice,366000.0,1.5,549000.0,0.8,439200.0,76859.99999999997
Punjab,Fatehgarh sahib,2011 - 2012,Rice,364000.0,1.5,546000.0,0.8,436800.0,76439.99999999997
Punjab,Fatehgarh sahib,2012 - 2013,Rice,384000.0,1.5,576000.0,0.8,460800.0,80639.99999999997
Punjab,Fatehgarh sahib,2013 - 2014,Rice,351000.0,1.5,526500.0,0.8,421200.0,73709.99999999997
Punjab,Fatehgarh sahib,2014 - 2015,Rice,374000.0,1.5,561000.0,0.8,448800.0,78539.99999999997
Punjab,Fatehgarh sahib,2015 - 2016,Rice,384000.0,1.5,576000.0,0.8,460800.0,80639.99999999997
Punjab,Fatehgarh sahib,2016 - 2017,Rice,405000.0,1.5,607500.0,0.8,486000.0,85049.99999999997
Punjab,Fatehgarh sahib,2017 - 2018,Rice,395000.0,1.5,592500.0,0.8,474000.0,82949.99999999997
Punjab,Fatehgarh sahib,2018 - 2019,Rice,347000.0,1.5,520500.0,0.8,416400.0,72869.99999999997
Punjab,Fatehgarh sahib,2019 - 2020,Rice,366000.0,1.5,549000.0,0.8,439200.0,76859.99999999997
Punjab,Fatehgarh sahib,2020 - 2021,Rice,414000.0,1.5,621000.0,0.8,496800.0,86939.99999999997
Punjab,Fatehgarh sahib,2021 - 2022,Rice,412000.0,1.5,618000.0,0.8,494400.0,86519.99999999997
Punjab,Fatehgarh sahib,2022 - 2023,Rice,352000.0,1.5,528000.0,0.8,422400.0,73919.99999999997
Punjab,Fazilka,2012 - 2013,Rice,291000.0,1.5,436500.0,0.8,349200.0,61109.999999999985
Punjab,Fazilka,2013 - 2014,Rice,293000.0,1.5,439500.0,0.8,351600.0,61529.999999999985
Punjab,Fazilka,2014 - 2015,Rice,297000.0,1.5,445500.0,0.8,356400.0,62369.999999999985
Punjab,Fazilka,2015 - 2016,Rice,298000.0,1.5,447000.0,0.8,357600.0,62579.999999999985
Punjab,Fazilka,2016 - 2017,Rice,391000.0,1.5,586500.0,0.8,469200.0,82109.99999999997
Punjab,Fazilka,2017 - 2018,Rice,355000.0,1.5,532500.0,0.8,426000.0,74549.99999999997
Punjab,Fazilka,2018 - 2019,Rice,376000.0,1.5,564000.0,0.8,451200.0,78959.99999999997
Punjab,Fazilka,2019 - 2020,Rice,775000.0,1.5,1162500.0,0.8,930000.0,162749.99999999994
Punjab,Fazilka,2020 - 2021,Rice,380000.0,1.5,570000.0,0.8,456000.0,79799.99999999997
Punjab,Fazilka,2021 - 2022,Rice,355000.0,1.5,532500.0,0.8,426000.0,74549.99999999997
Punjab,Fazilka,2022 - 2023,Rice,379000.0,1.5,568500.0,0.8,454800.0,79589.99999999997
Punjab,Firozepur,2010 - 2011,Rice,954000.0,1.5,1431000.0,0.8,1144800.0,200339.99999999994
Punjab,Firozepur,2011 - 2012,Rice,889000.0,1.5,1333500.0,0.8,1066800.0,186689.99999999994
Punjab,Firozepur,2012 - 2013,Rice,766000.0,1.5,1149000.0,0.8,919200.0,160859.99999999994
Punjab,Firozepur,2013 - 2014,Rice,766000.0,1.5,1149000.0,0.8,919200.0,160859.99999999994
Punjab,Firozepur,2014 - 2015,Rice,733000.0,1.5,1099500.0,0.8,879600.0,153929.99999999994
Punjab,Firozepur,2015 - 2016,Rice,729000.0,1.5,1093500.0,0.8,874800.0,153089.99999999994
Punjab,Firozepur,2016 - 2017,Rice,791000.0,1.5,1186500.0,0.8,949200.0,166109.99999999994
Punjab,Firozepur,2017 - 2018,Rice,842000.0,1.5,1263000.0,0.8,1010400.0,176819.99999999994
Punjab,Firozepur,2018 - 2019,Rice,829000.0,1.5,1243500.0,0.8,994800.0,174089.99999999994
Punjab,Firozepur,2019 - 2020,Rice,307000.0,1.5,460500.0,0.8,368400.0,64469.999999999985
Punjab,Firozepur,2020 - 2021,Rice,823000.0,1.5,1234500.0,0.8,987600.0,172829.99999999994
Punjab,Firozepur,2021 - 2022,Rice,827000.0,1.5,1240500.0,0.8,992400.0,173669.99999999994
