Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2010","2010","ha","42333987","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2010","2010","t","140674810.06","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2011","2011","ha","44967537","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2011","2011","t","162151286.59","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2012","2012","ha","42797306","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2012","2012","t","157382919.56","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2013","2013","ha","43288849","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2013","2013","t","156554654.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2014","2014","ha","44515890","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2014","2014","t","159810501.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2015","2015","ha","43938012","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2015","2015","t","158254967.78","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2016","2016","ha","43688499","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2016","2016","t","163947351.09","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2017","2017","ha","43496848","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2017","2017","t","165796205.79","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2018","2018","ha","44389153","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2018","2018","t","176493653.91","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2019","2019","ha","43205052","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2019","2019","t","175071504.27","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2020","2020","ha","45007310","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2020","2020","t","182702924.12","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2021","2021","ha","46449121","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2021","2021","t","195241449.38","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2022","2022","ha","45643151","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2022","2022","t","193473289.35","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2023","2023","ha","48163285","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2023","2023","t","207753551.26","A","Official figure",""
