State/ Group of NE States/Group of UTs,Income from Wages,Income from leasing out of Land,Net Receipt from Crop Production,Net Receipt from Farming of Animals,Net Receipt from Non Farm Business,Total Income
Andhra Pradesh,4849,189,2734,2046,662,10480
Arunachal Pradesh,2976,0,5818,4690,5741,19225
Assam,5581,36,3262,1120,676,10675
Bihar,2503,82,2739,1739,479,7542
Chhattisgarh,4444,51,4336,524,321,9677
Gujarat,4415,53,4318,3477,369,12631
Haryana,7861,621,9092,4020,1249,22841
Himachal Pradesh,6393,71,2552,1811,1326,12153
Jammu and Kashmir,12171,292,1980,2276,2200,18918
Jharkhand,2783,24,1102,827,158,4895
Karnataka,4576,104,6835,1663,264,13441
Kerala,10201,150,3638,1050,2876,17915
Madhya Pradesh,2488,54,4309,1295,193,8339
Maharashtra,4324,34,4747,1540,847,11492
Manipur,4147,25,3221,2625,1209,11227
Meghalaya,6936,106,21060,842,404,29348
Mizoram,6545,52,8694,1750,923,17964
Nagaland,3970,2,2010,3801,93,9877
Odisha,2649,29,1569,416,449,5112
Punjab,5981,2652,12597,4457,1014,26701
Rajasthan,5356,77,3731,2356,1000,12520
Sikkim,6469,3,4065,1376,534,12447
Tamil Nadu,6497,72,2641,2000,715,11924
Telangana,2961,67,4937,689,748,9403
Tripura,4974,24,2912,960,1048,9918
Uttarakhand,3728,191,5277,3292,1064,13552
Uttar Pradesh,2900,119,3290,1365,387,8061
West Bengal,3721,94,1547,465,1935,6762
Group of NE States,5145,40,8328,2089,1260,16863
Group of UT,10964,66,2494,2491,2496,18511
All India,4063,134,3798,1582,641,10218
