-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.37   longitude 75.55 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 233.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.84,6.9,38.77,1.52
2015,1,2,0.88,23.7,8.36,44.39,0.94
2015,1,3,2.86,20.17,7.33,66.05,1.01
2015,1,4,0.0,20.28,6.74,49.13,1.57
2015,1,5,0.0,20.49,4.45,44.98,2.13
2015,1,6,0.0,21.43,5.74,47.61,1.73
2015,1,7,0.0,21.77,5.07,49.62,1.58
2015,1,8,0.0,22.21,4.82,40.92,1.4
2015,1,9,0.0,20.72,6.98,35.22,1.18
2015,1,10,0.0,21.18,3.09,36.85,1.72
2015,1,11,0.0,23.0,3.69,30.83,1.83
2015,1,12,0.0,24.13,7.06,27.41,1.12
2015,1,13,0.4,22.45,4.37,39.62,1.83
2015,1,14,7.26,17.41,7.48,69.19,1.67
2015,1,15,0.01,19.41,6.21,74.36,1.09
2015,1,16,0.0,21.77,5.22,62.24,1.53
2015,1,17,0.0,22.18,5.63,48.73,1.7
2015,1,18,0.0,22.39,5.51,43.09,1.75
2015,1,19,0.0,22.26,8.44,39.22,1.11
2015,1,20,0.0,21.28,6.5,43.1,1.12
2015,1,21,3.48,16.85,7.07,57.11,2.24
2015,1,22,7.13,13.55,8.91,88.08,1.65
2015,1,23,0.06,19.84,6.95,73.09,0.98
2015,1,24,0.0,20.35,5.18,62.61,1.44
2015,1,25,0.0,19.58,5.93,52.41,1.32
2015,1,26,0.12,19.04,7.53,46.35,0.79
2015,1,27,0.04,17.83,5.56,51.32,1.49
2015,1,28,0.0,18.74,4.04,50.85,1.78
2015,1,29,0.0,19.02,4.76,42.77,1.66
2015,1,30,0.0,20.91,3.12,43.42,2.14
2015,1,31,0.0,22.7,4.46,39.61,1.68
2015,2,1,0.0,22.64,6.62,38.26,1.42
2015,2,2,6.97,22.43,8.13,45.84,1.36
2015,2,3,7.26,21.54,9.55,75.81,1.43
2015,2,4,0.37,22.4,6.65,67.99,1.85
2015,2,5,0.0,23.36,4.89,51.45,1.71
2015,2,6,0.0,22.33,8.89,43.51,0.99
2015,2,7,0.0,23.43,9.15,43.99,1.04
2015,2,8,0.0,24.15,10.03,52.43,2.31
2015,2,9,0.0,24.58,7.09,54.08,1.58
2015,2,10,0.0,24.45,7.63,41.51,1.46
2015,2,11,0.0,25.14,9.74,40.32,1.56
2015,2,12,0.0,25.28,7.16,37.31,1.7
2015,2,13,0.0,25.86,7.21,36.97,1.59
2015,2,14,0.0,29.51,13.05,38.3,1.23
2015,2,15,0.0,28.16,13.05,39.28,1.18
2015,2,16,0.71,28.34,11.7,40.75,2.57
2015,2,17,3.12,27.36,12.35,52.36,1.0
2015,2,18,0.0,27.49,13.34,46.96,1.29
2015,2,19,0.35,27.19,13.15,49.72,1.38
2015,2,20,6.58,27.63,12.89,58.54,1.31
2015,2,21,0.06,29.2,12.19,54.53,2.25
2015,2,22,0.0,30.31,11.59,54.39,2.28
2015,2,23,0.0,27.4,14.29,47.08,0.7
2015,2,24,0.0,29.05,15.75,44.21,1.7
2015,2,25,6.93,24.52,9.01,48.5,3.44
2015,2,26,0.0,23.99,7.38,30.37,1.12
2015,2,27,0.04,23.73,6.16,40.19,1.31
2015,2,28,0.02,21.53,8.69,43.15,1.74
2015,3,1,40.56,18.47,11.31,82.56,3.28
2015,3,2,13.88,20.06,12.99,80.69,2.88
2015,3,3,1.9,21.92,8.89,64.62,1.28
2015,3,4,0.58,22.73,8.03,61.17,1.55
2015,3,5,1.48,24.55,10.39,60.87,1.24
2015,3,6,0.08,25.32,10.52,62.67,1.44
2015,3,7,3.21,25.1,9.6,63.71,1.25
2015,3,8,3.23,23.9,9.98,68.31,2.53
2015,3,9,0.04,22.26,7.45,61.99,1.65
2015,3,10,0.0,25.73,6.87,52.45,1.73
2015,3,11,0.0,27.48,8.86,44.92,1.22
2015,3,12,0.0,26.28,12.07,44.14,1.27
2015,3,13,0.0,29.24,11.32,38.67,1.21
2015,3,14,1.61,27.22,14.8,55.63,1.48
2015,3,15,10.72,24.21,13.89,71.04,3.29
2015,3,16,9.25,23.49,14.13,73.62,2.45
2015,3,17,0.03,25.4,12.61,63.05,1.77
2015,3,18,0.0,27.29,10.75,60.56,2.19
2015,3,19,0.0,29.08,11.46,48.46,1.55
2015,3,20,0.0,30.92,13.26,43.13,1.55
2015,3,21,0.0,31.65,15.67,50.43,1.52
2015,3,22,0.0,32.92,15.58,53.0,2.16
2015,3,23,0.0,34.18,15.02,51.44,2.03
2015,3,24,0.0,35.31,17.92,37.1,0.98
2015,3,25,0.0,35.78,17.86,42.92,1.4
2015,3,26,0.0,34.82,17.63,44.93,1.16
2015,3,27,0.0,36.01,18.05,38.4,1.86
2015,3,28,0.03,36.77,16.88,33.29,1.46
2015,3,29,3.52,28.08,17.19,54.79,2.64
2015,3,30,5.93,28.77,16.37,68.35,2.44
2015,3,31,0.02,30.43,16.91,56.97,1.02
2015,4,1,0.09,30.43,19.56,54.17,1.2
2015,4,2,0.0,31.3,18.19,50.34,1.1
2015,4,3,12.65,28.98,17.29,60.7,1.73
2015,4,4,1.71,29.2,16.82,53.66,0.75
2015,4,5,0.0,31.81,15.25,51.77,1.35
2015,4,6,0.82,31.8,17.61,52.54,1.65
2015,4,7,3.85,28.03,18.32,59.27,1.39
2015,4,8,0.02,31.24,16.83,51.8,1.37
2015,4,9,0.0,32.94,15.49,50.42,1.83
2015,4,10,0.0,34.65,17.22,46.09,1.68
2015,4,11,0.45,36.22,20.06,43.2,1.24
2015,4,12,1.47,30.23,19.73,60.48,1.41
2015,4,13,0.01,33.76,19.91,47.79,1.06
2015,4,14,0.11,33.39,18.83,54.45,1.94
2015,4,15,12.01,32.63,20.19,54.08,1.15
2015,4,16,2.04,33.51,20.41,53.86,1.49
2015,4,17,2.81,34.96,18.5,54.62,2.33
2015,4,18,0.0,38.19,21.38,45.64,1.77
2015,4,19,0.0,39.7,22.32,39.43,1.18
2015,4,20,0.01,39.71,22.13,36.32,2.77
2015,4,21,0.0,38.22,21.1,39.79,2.65
2015,4,22,0.0,38.74,19.58,34.17,2.19
2015,4,23,0.0,39.64,23.66,24.48,1.29
2015,4,24,0.0,40.01,24.45,22.68,0.83
2015,4,25,0.0,40.79,24.85,22.92,0.93
2015,4,26,0.0,37.22,20.74,38.32,2.79
2015,4,27,0.0,38.3,22.77,38.38,2.99
2015,4,28,2.91,39.44,25.44,37.99,1.61
2015,4,29,1.1,39.29,23.72,32.04,1.17
2015,4,30,0.17,39.38,22.44,32.88,2.55
2015,5,1,6.3,37.43,20.11,41.33,2.1
2015,5,2,0.0,38.44,21.5,29.4,2.14
2015,5,3,0.0,39.97,23.94,23.49,1.66
2015,5,4,0.0,41.08,23.11,23.38,1.62
2015,5,5,0.0,41.63,25.01,24.13,1.41
2015,5,6,0.0,42.62,26.07,25.99,1.4
2015,5,7,0.0,43.91,25.26,24.75,2.32
2015,5,8,0.0,41.81,26.1,21.92,2.65
2015,5,9,0.0,42.79,26.17,24.82,0.81
2015,5,10,0.0,41.99,27.12,26.37,1.36
2015,5,11,2.06,40.98,26.65,29.28,1.92
2015,5,12,1.02,39.11,26.6,30.05,1.56
2015,5,13,3.11,38.71,23.77,38.29,1.7
2015,5,14,1.38,37.12,25.16,42.09,1.27
2015,5,15,0.71,37.96,25.93,39.14,1.75
2015,5,16,1.45,40.05,25.29,30.33,1.43
2015,5,17,0.0,40.66,24.71,25.71,1.51
2015,5,18,0.0,43.44,29.24,25.06,1.12
2015,5,19,0.0,43.16,28.18,26.48,2.99
2015,5,20,0.47,43.35,25.45,19.4,3.15
2015,5,21,0.0,44.47,25.36,18.76,2.48
2015,5,22,0.0,45.23,25.83,15.32,2.27
2015,5,23,0.0,45.7,28.54,15.99,1.88
2015,5,24,0.0,46.03,28.81,13.42,2.23
2015,5,25,0.0,46.39,27.61,14.14,2.56
2015,5,26,0.0,44.76,26.7,11.49,3.71
2015,5,27,0.0,43.78,23.43,9.32,2.62
2015,5,28,0.0,43.84,27.18,10.84,2.33
2015,5,29,0.13,43.3,27.38,17.98,2.96
2015,5,30,0.0,43.95,27.53,18.44,2.75
2015,5,31,0.04,43.24,29.0,18.4,1.48
2015,6,1,0.58,42.63,29.69,17.9,1.78
2015,6,2,0.02,39.92,26.84,27.82,2.32
2015,6,3,0.69,40.57,26.97,28.71,1.29
2015,6,4,7.06,36.91,27.28,37.94,1.14
2015,6,5,0.08,39.81,26.37,35.33,1.4
2015,6,6,0.0,41.74,27.34,26.71,2.55
2015,6,7,0.0,43.27,28.65,21.48,1.64
2015,6,8,0.0,45.58,30.13,17.61,2.16
2015,6,9,0.05,45.58,29.74,18.44,3.04
2015,6,10,0.0,42.14,31.23,30.83,4.9
2015,6,11,1.48,43.02,30.89,27.19,3.49
2015,6,12,0.0,44.01,29.12,26.94,2.65
2015,6,13,2.81,43.04,30.73,28.62,2.76
2015,6,14,4.4,38.57,28.75,40.15,3.74
