-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.21   longitude 74.95 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.92,6.62,33.04,1.48
2015,1,2,0.51,24.7,7.95,42.43,1.07
2015,1,3,1.08,21.59,8.11,60.77,1.09
2015,1,4,0.0,21.28,9.26,40.17,1.04
2015,1,5,0.0,20.88,5.74,43.61,1.85
2015,1,6,0.0,21.4,6.78,47.53,1.61
2015,1,7,0.0,22.41,7.41,47.46,1.4
2015,1,8,0.0,22.29,6.87,35.94,1.2
2015,1,9,0.0,20.97,7.88,29.06,0.91
2015,1,10,0.0,21.36,5.4,28.37,1.53
2015,1,11,0.0,23.83,5.66,22.07,1.67
2015,1,12,0.0,25.45,8.02,21.97,1.17
2015,1,13,2.14,23.9,5.1,36.78,1.93
2015,1,14,3.44,19.48,6.91,60.61,1.39
2015,1,15,0.16,19.32,6.15,73.44,0.98
2015,1,16,0.0,21.58,5.64,61.91,1.34
2015,1,17,0.0,22.68,7.67,49.69,1.61
2015,1,18,0.0,22.7,7.84,41.41,1.49
2015,1,19,0.0,22.79,7.87,37.6,0.95
2015,1,20,0.0,21.61,5.84,40.08,1.6
2015,1,21,2.72,17.53,7.93,48.72,3.28
2015,1,22,4.49,17.91,9.35,73.84,1.83
2015,1,23,0.07,20.03,6.99,71.43,1.02
2015,1,24,0.0,19.48,6.34,60.58,1.26
2015,1,25,0.0,19.43,6.43,50.97,1.09
2015,1,26,0.0,18.95,7.67,44.58,0.66
2015,1,27,0.01,17.81,5.99,50.17,1.26
2015,1,28,0.0,18.32,4.35,49.46,1.79
2015,1,29,0.0,19.43,4.35,38.29,1.66
2015,1,30,0.0,21.05,4.18,37.38,1.97
2015,1,31,0.0,23.37,6.06,33.69,1.33
2015,2,1,0.0,23.64,7.15,36.7,2.01
2015,2,2,7.23,23.17,7.78,47.88,1.88
2015,2,3,1.17,22.26,9.7,73.27,1.31
2015,2,4,0.15,22.49,6.55,69.61,1.82
2015,2,5,0.0,23.3,6.03,55.15,1.5
2015,2,6,0.0,22.26,8.66,45.25,0.94
2015,2,7,0.0,22.69,7.57,49.23,1.13
2015,2,8,0.0,24.46,9.13,54.24,1.71
2015,2,9,0.0,24.59,7.73,53.17,1.32
2015,2,10,0.0,24.32,8.63,41.33,1.33
2015,2,11,0.0,24.51,9.68,37.47,1.47
2015,2,12,0.0,25.74,7.89,32.69,1.49
2015,2,13,0.0,27.2,9.4,29.57,1.37
2015,2,14,0.0,30.59,14.31,33.5,1.17
2015,2,15,0.0,30.49,14.08,28.83,1.06
2015,2,16,0.29,30.69,13.52,29.88,2.92
2015,2,17,1.42,27.64,11.09,47.51,1.14
2015,2,18,0.0,28.44,12.76,42.21,1.41
2015,2,19,0.11,29.12,13.33,42.68,1.76
2015,2,20,2.12,29.5,12.36,52.75,1.39
2015,2,21,0.53,29.8,12.09,58.26,2.09
2015,2,22,0.0,30.81,12.35,50.05,2.03
2015,2,23,0.0,28.26,16.4,42.35,0.93
2015,2,24,0.12,30.05,16.27,37.6,2.02
2015,2,25,4.37,27.58,9.4,35.69,3.81
2015,2,26,0.0,24.31,6.43,27.23,1.1
2015,2,27,0.0,24.53,9.07,28.95,1.04
2015,2,28,0.0,21.84,9.1,40.82,1.43
2015,3,1,29.04,18.25,11.24,80.99,2.82
2015,3,2,2.72,20.83,11.56,73.12,2.06
2015,3,3,0.56,22.67,9.61,56.39,1.15
2015,3,4,0.33,24.08,9.01,52.98,1.13
2015,3,5,1.75,26.11,9.89,54.4,1.5
2015,3,6,0.29,26.07,9.51,65.51,1.24
2015,3,7,4.8,26.11,10.22,63.9,1.39
2015,3,8,1.17,24.52,9.03,59.55,2.5
2015,3,9,0.0,23.09,7.12,58.83,1.48
2015,3,10,0.0,25.96,6.92,49.54,1.57
2015,3,11,0.0,27.77,9.71,41.45,0.97
2015,3,12,0.0,27.06,12.82,43.09,1.21
2015,3,13,0.03,30.32,12.8,40.87,0.95
2015,3,14,0.6,26.86,15.01,60.23,1.99
2015,3,15,17.81,23.99,14.54,74.15,3.75
2015,3,16,5.83,25.04,13.65,68.48,1.96
2015,3,17,0.0,26.02,12.34,59.85,1.83
2015,3,18,0.0,27.88,10.87,58.06,2.23
