-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  28.79   longitude 76.13 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 220.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.52,7.9,35.84,1.05
2015,1,2,5.9,22.06,10.5,55.16,1.32
2015,1,3,0.8,20.06,9.65,74.59,0.58
2015,1,4,0.0,21.23,7.2,63.24,1.69
2015,1,5,0.0,21.66,5.65,47.72,2.65
2015,1,6,0.0,21.71,6.27,55.5,1.94
2015,1,7,0.0,21.33,6.69,54.8,1.61
2015,1,8,0.0,21.81,4.82,43.44,1.5
2015,1,9,0.0,21.06,6.25,34.58,1.19
2015,1,10,0.0,20.92,4.1,36.3,1.72
2015,1,11,0.0,23.65,4.33,32.29,1.88
2015,1,12,0.0,25.16,5.94,30.65,1.34
2015,1,13,0.0,24.04,5.14,38.26,2.49
2015,1,14,2.9,19.61,6.73,53.96,2.0
2015,1,15,0.0,19.48,5.75,70.72,1.11
2015,1,16,0.0,21.47,5.35,64.02,1.24
2015,1,17,0.0,22.88,7.34,55.66,1.78
2015,1,18,0.0,22.94,6.48,45.91,1.72
2015,1,19,0.0,22.91,7.25,37.39,1.1
2015,1,20,0.0,21.47,5.64,38.31,1.62
2015,1,21,0.41,19.78,7.24,41.41,2.54
2015,1,22,7.19,18.05,9.12,75.17,1.65
2015,1,23,1.05,19.45,8.87,76.39,1.04
2015,1,24,0.0,20.93,6.31,62.35,1.37
2015,1,25,0.0,20.38,7.3,48.44,1.31
2015,1,26,0.9,19.44,6.71,53.26,0.84
2015,1,27,0.17,18.78,5.81,58.81,1.53
2015,1,28,0.0,18.45,3.2,54.57,1.79
2015,1,29,0.0,19.34,2.95,42.99,1.89
2015,1,30,0.0,20.67,3.37,39.91,2.21
2015,1,31,0.0,23.47,4.77,35.14,1.81
2015,2,1,0.0,22.82,6.41,39.15,1.88
2015,2,2,2.12,24.62,8.33,44.47,2.19
2015,2,3,2.65,23.05,8.19,65.05,1.9
2015,2,4,0.08,22.75,6.9,66.86,1.9
2015,2,5,0.0,23.52,4.92,51.74,1.7
2015,2,6,0.0,23.72,7.96,40.71,1.02
2015,2,7,0.0,24.45,7.97,44.34,1.2
2015,2,8,0.0,25.22,10.87,45.59,1.45
2015,2,9,0.06,25.29,8.33,50.6,1.44
2015,2,10,0.0,24.77,8.75,41.32,1.59
2015,2,11,0.0,24.72,8.69,35.7,1.45
2015,2,12,0.0,25.67,7.48,31.19,1.62
2015,2,13,0.0,27.43,7.59,27.62,2.02
2015,2,14,0.0,30.78,11.98,32.01,1.28
2015,2,15,0.0,30.21,13.32,29.28,1.15
2015,2,16,0.02,29.17,12.77,29.92,2.56
2015,2,17,0.0,28.47,11.24,41.49,1.04
2015,2,18,0.0,29.05,14.37,35.81,1.09
2015,2,19,0.08,29.69,12.93,36.7,1.96
2015,2,20,1.26,31.69,13.37,41.4,1.33
2015,2,21,0.18,30.94,13.65,39.12,1.93
2015,2,22,0.0,31.74,13.39,43.53,2.53
2015,2,23,0.0,27.87,15.8,37.96,0.79
2015,2,24,0.0,30.05,15.67,34.2,1.97
2015,2,25,1.38,29.51,11.5,33.59,2.77
2015,2,26,0.0,25.28,7.46,18.99,1.5
2015,2,27,0.06,26.25,10.23,18.93,1.26
2015,2,28,0.23,25.96,9.21,30.49,1.56
2015,3,1,32.49,21.17,12.66,80.74,4.58
2015,3,2,17.01,20.52,12.96,78.09,1.95
2015,3,3,0.53,23.1,10.52,61.22,1.09
2015,3,4,0.0,23.99,10.16,47.59,1.43
2015,3,5,0.0,26.54,10.42,39.33,1.07
2015,3,6,0.34,27.14,9.43,61.1,1.13
2015,3,7,8.07,27.23,12.32,60.99,1.47
2015,3,8,1.17,25.58,12.43,59.91,1.81
2015,3,9,0.14,23.54,6.39,47.7,2.06
2015,3,10,0.0,25.57,7.17,49.18,1.82
2015,3,11,0.0,28.18,10.17,39.86,1.35
2015,3,12,0.0,29.79,13.54,41.79,1.4
2015,3,13,0.08,30.51,15.12,47.51,0.91
2015,3,14,0.22,26.76,16.06,62.84,1.77
2015,3,15,11.93,24.74,14.57,75.23,3.73
2015,3,16,5.57,25.17,14.1,71.74,2.02
2015,3,17,0.0,26.27,12.85,61.0,2.09
2015,3,18,0.0,27.49,11.31,58.03,2.57
2015,3,19,0.0,29.26,12.15,45.57,1.52
2015,3,20,0.0,31.52,15.39,36.55,1.24
2015,3,21,0.0,32.45,18.33,40.32,1.16
2015,3,22,0.0,33.12,16.16,49.88,2.05
2015,3,23,0.0,33.99,15.73,47.64,1.95
2015,3,24,0.0,35.81,19.66,33.04,1.11
2015,3,25,0.0,36.0,19.29,36.05,1.15
2015,3,26,0.0,36.0,19.58,42.21,1.03
2015,3,27,0.0,36.58,20.36,39.04,1.49
