-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  28.41   longitude 77.32 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.02,23.9,8.07,44.51,1.19
2015,1,2,3.9,21.34,11.84,59.67,1.16
2015,1,3,10.12,20.72,8.65,76.62,0.96
2015,1,4,0.0,21.5,8.12,62.98,2.2
2015,1,5,0.0,22.76,6.59,44.1,3.89
2015,1,6,0.0,22.39,6.79,53.13,2.32
2015,1,7,0.0,21.21,6.26,55.87,1.84
2015,1,8,0.0,21.56,5.4,46.51,2.06
2015,1,9,0.0,21.14,4.16,39.9,1.62
2015,1,10,0.0,21.41,3.7,39.1,2.1
2015,1,11,0.0,23.24,4.05,36.93,2.0
2015,1,12,0.0,23.75,4.22,36.56,1.4
2015,1,13,0.0,21.66,5.77,39.03,1.74
2015,1,14,1.91,18.59,6.95,54.93,1.63
2015,1,15,0.0,19.55,4.48,67.56,1.52
2015,1,16,0.0,21.28,5.15,63.7,1.4
2015,1,17,0.0,23.07,6.67,55.9,1.98
2015,1,18,0.0,22.65,5.81,49.93,1.91
2015,1,19,0.0,22.19,5.4,43.43,1.53
2015,1,20,0.0,20.73,6.31,41.27,1.12
2015,1,21,3.16,20.75,6.57,42.38,1.51
2015,1,22,8.36,17.75,8.77,77.98,1.5
2015,1,23,2.56,21.22,8.02,76.24,1.13
2015,1,24,0.0,21.91,7.21,65.8,1.64
2015,1,25,0.0,21.4,5.71,45.88,1.58
2015,1,26,3.26,18.94,8.32,62.71,0.82
2015,1,27,0.0,20.24,6.68,61.75,1.95
2015,1,28,0.0,19.39,3.91,49.46,1.93
2015,1,29,0.0,19.48,3.25,42.55,2.14
2015,1,30,0.0,20.93,3.67,39.83,2.63
2015,1,31,0.0,23.44,4.93,36.8,2.32
2015,2,1,0.0,22.99,8.46,36.56,1.26
2015,2,2,0.0,24.64,8.41,42.78,1.96
2015,2,3,0.85,24.27,10.38,54.67,2.17
2015,2,4,0.27,23.5,7.65,62.64,2.21
2015,2,5,0.0,23.98,5.91,48.36,1.91
2015,2,6,0.0,24.44,6.95,39.5,1.15
2015,2,7,0.03,25.35,9.1,41.55,1.08
2015,2,8,0.0,25.63,12.02,44.16,1.52
2015,2,9,0.01,25.79,8.59,48.01,1.9
2015,2,10,0.0,25.09,7.93,41.84,1.99
2015,2,11,0.0,24.56,8.34,39.12,1.56
2015,2,12,0.0,25.11,7.0,38.18,1.69
2015,2,13,0.0,26.8,7.21,31.5,2.19
2015,2,14,0.0,30.06,11.01,36.06,1.25
2015,2,15,0.0,28.85,12.35,36.57,1.14
2015,2,16,0.0,27.8,13.21,38.14,1.74
2015,2,17,0.0,28.07,11.5,44.14,0.99
2015,2,18,0.0,28.6,13.3,40.01,0.91
2015,2,19,0.02,29.97,14.03,38.16,1.45
2015,2,20,1.76,30.86,14.05,41.7,1.29
2015,2,21,0.0,30.78,14.16,38.26,2.36
2015,2,22,0.0,31.7,14.33,43.13,2.93
2015,2,23,0.0,27.64,14.98,41.13,1.33
2015,2,24,0.0,28.3,16.64,37.87,1.17
2015,2,25,0.47,30.09,14.51,36.4,2.25
2015,2,26,1.62,25.86,8.98,28.45,1.66
2015,2,27,0.1,27.23,7.74,26.4,1.47
