-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.67   longitude 74.76 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 210.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.63,6.38,35.31,1.56
2015,1,2,0.14,23.97,7.32,39.07,0.92
2015,1,3,1.35,21.12,7.41,56.22,1.02
2015,1,4,0.0,20.71,8.37,42.03,1.16
2015,1,5,0.0,20.45,5.08,44.71,1.84
2015,1,6,0.0,21.1,6.31,46.49,1.65
2015,1,7,0.0,22.14,6.05,47.7,1.45
2015,1,8,0.0,22.21,5.95,36.89,1.2
2015,1,9,0.0,20.72,8.02,30.28,0.97
2015,1,10,0.0,21.22,4.1,31.26,1.59
2015,1,11,0.0,23.34,5.01,24.2,1.71
2015,1,12,0.0,24.7,8.17,23.44,1.04
2015,1,13,2.56,23.12,4.93,38.54,1.79
2015,1,14,4.74,18.37,7.25,67.91,1.39
2015,1,15,0.04,19.41,6.54,75.41,0.98
2015,1,16,0.0,21.61,5.52,61.28,1.47
2015,1,17,0.0,22.44,6.61,48.47,1.64
2015,1,18,0.0,22.38,6.97,40.76,1.57
2015,1,19,0.0,22.47,7.91,37.91,0.97
2015,1,20,0.0,21.3,6.5,42.98,1.24
2015,1,21,6.09,16.11,7.75,57.08,2.83
2015,1,22,3.65,15.22,8.91,83.57,1.57
2015,1,23,0.09,19.73,6.83,73.4,0.96
2015,1,24,0.0,19.6,5.69,62.43,1.31
2015,1,25,0.0,19.29,5.81,53.04,1.23
2015,1,26,0.0,18.76,7.61,45.31,0.62
2015,1,27,0.0,17.66,5.63,51.64,1.32
2015,1,28,0.0,18.39,4.23,49.67,1.8
2015,1,29,0.0,19.19,4.77,41.39,1.62
2015,1,30,0.0,21.01,3.46,41.76,1.99
2015,1,31,0.0,22.87,5.48,36.96,1.41
2015,2,1,0.0,22.89,6.94,38.65,1.62
2015,2,2,6.3,22.34,7.66,48.12,1.47
2015,2,3,5.29,21.5,9.67,76.25,1.17
2015,2,4,0.18,22.44,6.38,68.52,1.84
2015,2,5,0.0,23.09,5.78,54.02,1.54
2015,2,6,0.0,22.01,9.07,44.3,0.8
2015,2,7,0.0,23.1,8.24,47.26,1.12
2015,2,8,0.0,24.2,9.27,55.67,1.87
2015,2,9,0.0,24.43,7.48,53.06,1.42
2015,2,10,0.0,24.24,8.17,41.08,1.33
2015,2,11,0.0,24.58,10.05,39.96,1.56
2015,2,12,0.0,25.49,7.79,36.43,1.54
2015,2,13,0.0,26.41,8.92,33.99,1.32
2015,2,14,0.0,29.89,12.98,37.38,1.26
2015,2,15,0.0,28.85,14.01,35.55,1.05
2015,2,16,0.68,29.89,12.03,36.87,2.73
2015,2,17,3.83,27.0,11.14,52.77,1.0
2015,2,18,0.02,27.55,13.4,46.88,1.31
2015,2,19,0.35,27.7,13.06,51.58,1.44
2015,2,20,6.05,26.61,12.33,63.04,1.24
2015,2,21,0.2,28.97,11.9,60.06,2.11
2015,2,22,0.0,30.16,11.74,54.63,2.07
2015,2,23,0.0,27.96,15.29,47.68,0.85
2015,2,24,0.51,28.75,15.66,44.5,1.76
2015,2,25,6.26,26.48,9.01,43.1,3.72
2015,2,26,0.0,24.03,7.74,30.05,0.98
2015,2,27,0.0,23.81,7.17,37.91,1.11
2015,2,28,0.01,21.98,8.86,43.32,1.33
2015,3,1,34.28,17.45,11.13,82.11,2.66
2015,3,2,5.47,20.37,12.46,74.9,2.32
2015,3,3,0.71,22.22,9.33,59.2,1.17
2015,3,4,0.86,23.4,8.5,56.82,1.27
2015,3,5,1.87,24.72,10.15,59.36,1.14
2015,3,6,0.0,25.43,9.58,62.97,1.25
2015,3,7,3.3,24.51,9.75,63.57,1.01
2015,3,8,1.59,24.12,8.99,64.76,2.35
2015,3,9,0.0,22.58,7.63,62.02,1.39
2015,3,10,0.0,25.85,6.8,50.28,1.61
2015,3,11,0.0,27.34,8.93,43.51,1.06
2015,3,12,0.0,25.95,12.58,40.96,1.15
2015,3,13,0.0,29.59,11.96,38.5,1.06
2015,3,14,0.61,27.44,14.35,56.43,1.68
2015,3,15,17.15,23.69,14.17,73.98,3.38
2015,3,16,5.64,24.57,14.22,70.18,2.13
2015,3,17,0.0,25.51,12.14,62.65,1.81
