-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.52   longitude 75.45 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 215.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.28,7.13,33.42,1.27
2015,1,2,2.54,24.72,10.03,48.72,1.44
2015,1,3,0.86,21.3,9.44,66.65,0.71
2015,1,4,0.0,21.34,8.11,49.86,1.43
2015,1,5,0.0,21.33,5.67,45.0,2.19
2015,1,6,0.0,21.75,6.76,50.62,1.76
2015,1,7,0.0,21.92,7.2,49.73,1.51
2015,1,8,0.0,22.17,5.81,38.77,1.37
2015,1,9,0.0,21.06,7.18,30.95,0.99
2015,1,10,0.0,21.15,5.04,31.13,1.6
2015,1,11,0.0,23.83,4.89,25.94,1.79
2015,1,12,0.0,25.78,7.52,24.68,1.21
2015,1,13,0.14,24.28,5.02,37.11,2.3
2015,1,14,4.14,20.34,6.96,55.01,1.57
2015,1,15,0.1,19.34,6.16,72.61,1.04
2015,1,16,0.0,21.66,5.57,63.23,1.29
2015,1,17,0.0,22.88,7.75,52.6,1.7
2015,1,18,0.0,22.93,7.39,43.65,1.65
2015,1,19,0.0,22.83,7.81,36.8,0.99
2015,1,20,0.0,21.59,5.66,38.09,1.64
2015,1,21,0.73,18.82,7.58,43.4,3.13
2015,1,22,6.8,17.55,9.5,75.4,1.94
2015,1,23,0.05,20.31,6.96,71.45,0.97
2015,1,24,0.0,20.16,6.48,59.31,1.36
2015,1,25,0.0,19.75,6.97,49.2,1.19
2015,1,26,0.09,19.28,7.1,48.69,0.64
