-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.4   longitude 74.03 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 174.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.4,6.33,30.61,1.49
2015,1,2,0.0,24.08,5.54,34.94,0.9
2015,1,3,0.04,22.05,9.32,39.17,1.08
2015,1,4,0.0,21.32,7.79,37.51,0.94
2015,1,5,0.0,20.7,7.63,39.06,1.32
2015,1,6,0.0,21.19,8.16,44.28,1.35
2015,1,7,0.0,22.69,8.41,44.44,1.08
2015,1,8,0.0,22.62,7.65,31.47,0.82
2015,1,9,0.0,21.18,8.36,24.83,0.75
2015,1,10,0.0,21.99,5.75,21.71,1.43
2015,1,11,0.0,24.13,7.36,17.1,1.37
2015,1,12,0.0,25.02,8.81,21.72,1.26
2015,1,13,3.14,22.69,5.34,41.71,1.57
2015,1,14,1.86,21.21,6.89,65.83,2.02
2015,1,15,0.01,20.09,6.51,65.3,0.92
2015,1,16,0.0,21.82,6.35,55.9,1.29
2015,1,17,0.0,23.11,8.07,40.65,1.41
2015,1,18,0.0,22.67,9.18,33.89,1.17
2015,1,19,0.0,23.22,7.25,35.01,0.99
2015,1,20,0.0,21.76,6.36,38.94,1.67
2015,1,21,3.92,17.38,9.53,53.56,2.91
2015,1,22,0.91,19.82,7.79,70.36,0.91
2015,1,23,0.14,19.65,5.72,71.53,1.0
2015,1,24,0.0,19.28,5.93,56.46,1.07
2015,1,25,0.0,19.94,6.21,47.81,1.13
2015,1,26,0.0,19.18,6.86,44.75,0.85
2015,1,27,0.0,18.25,6.26,47.67,1.1
2015,1,28,0.0,18.42,3.34,43.39,1.7
2015,1,29,0.0,19.84,5.84,31.83,1.21
2015,1,30,0.0,21.46,6.02,30.96,1.6
2015,1,31,0.0,23.45,8.69,27.76,1.1
2015,2,1,0.0,24.17,6.83,33.59,1.93
2015,2,2,2.72,22.24,7.34,46.73,1.93
2015,2,3,7.35,21.36,9.22,76.08,1.43
2015,2,4,0.0,22.62,7.33,69.08,1.69
2015,2,5,0.0,22.83,6.98,54.2,1.23
2015,2,6,0.0,22.3,9.25,48.79,0.92
2015,2,7,0.0,22.57,7.43,48.91,1.58
2015,2,8,0.0,23.84,8.15,60.45,1.53
2015,2,9,0.0,24.29,7.38,50.08,1.33
2015,2,10,0.0,24.32,8.47,39.41,1.17
2015,2,11,0.0,25.35,9.48,35.93,1.56
2015,2,12,0.0,26.0,8.69,30.23,1.24
2015,2,13,0.0,27.53,10.4,28.77,1.1
2015,2,14,0.0,30.57,12.34,34.11,1.39
2015,2,15,0.0,29.96,14.89,30.02,1.04
2015,2,16,0.31,31.65,12.51,34.32,2.35
2015,2,17,1.47,27.32,11.27,42.92,1.19
2015,2,18,0.05,28.41,12.37,42.73,1.34
2015,2,19,0.09,29.37,13.5,45.04,1.89
2015,2,20,2.67,25.74,12.34,70.13,2.15
2015,2,21,0.06,28.72,11.89,62.48,1.76
2015,2,22,0.0,29.15,12.14,52.81,1.81
2015,2,23,0.0,30.03,16.17,45.43,1.18
2015,2,24,2.51,27.2,17.07,47.32,1.91
2015,2,25,0.84,26.16,10.08,41.1,2.68
2015,2,26,0.0,24.26,7.91,25.93,0.93
2015,2,27,0.0,24.3,7.7,38.54,1.06
2015,2,28,0.0,23.98,9.89,37.68,1.43
2015,3,1,19.58,17.68,11.67,75.47,1.65
2015,3,2,0.75,21.02,10.0,69.96,1.89
2015,3,3,0.01,23.03,10.9,55.85,1.08
2015,3,4,0.63,24.59,8.78,53.12,1.05
2015,3,5,2.53,23.91,9.73,57.79,1.28
2015,3,6,0.82,25.08,8.71,65.7,1.14
2015,3,7,2.63,24.54,10.16,66.31,1.08
2015,3,8,0.91,23.82,9.27,61.9,2.68
2015,3,9,0.0,23.28,7.63,60.55,1.35
2015,3,10,0.0,26.24,7.13,46.25,1.72
2015,3,11,0.0,27.68,9.51,40.04,1.02
2015,3,12,0.0,26.11,11.62,37.57,0.96
2015,3,13,0.0,30.43,13.11,33.75,0.9
2015,3,14,1.73,28.67,14.34,56.94,1.86
2015,3,15,23.52,22.3,13.77,79.35,3.45
2015,3,16,0.46,24.96,12.73,65.75,1.2
2015,3,17,0.0,25.73,10.89,62.66,1.97
2015,3,18,0.0,28.35,10.37,54.35,1.89
2015,3,19,0.0,30.34,14.9,39.76,0.71
2015,3,20,0.0,32.09,16.79,39.49,1.0
2015,3,21,0.0,32.79,17.57,46.38,1.04
2015,3,22,0.0,32.28,17.84,51.74,1.6
2015,3,23,0.0,35.13,16.1,45.75,1.49
2015,3,24,0.0,36.5,20.69,35.39,0.89
2015,3,25,0.05,35.98,18.24,52.88,1.67
2015,3,26,0.0,35.81,18.88,44.27,0.84
2015,3,27,0.0,36.91,17.56,34.24,1.19
2015,3,28,0.09,37.75,20.38,30.54,1.26
2015,3,29,5.03,27.49,17.56,65.36,2.69
2015,3,30,4.54,31.16,15.43,65.48,1.01
2015,3,31,0.55,31.14,16.93,61.94,1.21
2015,4,1,0.01,32.13,19.2,56.99,1.31
2015,4,2,1.16,32.26,18.46,56.84,2.4
2015,4,3,6.14,30.08,15.74,64.04,1.65
2015,4,4,0.17,31.13,15.67,53.44,1.42
2015,4,5,0.0,32.97,16.45,48.53,1.11
2015,4,6,1.45,31.99,16.97,53.34,1.22
2015,4,7,6.3,26.29,16.91,71.29,1.48
2015,4,8,0.01,32.18,15.0,61.92,1.92
2015,4,9,0.0,33.92,16.29,46.9,1.39
2015,4,10,0.0,35.49,18.7,42.35,1.13
2015,4,11,4.84,35.47,19.64,50.82,1.72
2015,4,12,3.05,32.53,19.41,61.42,1.38
2015,4,13,0.0,35.51,19.74,46.79,0.89
2015,4,14,0.0,35.61,18.94,49.04,1.51
2015,4,15,0.29,36.24,20.33,47.11,1.45
