-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.92   longitude 74.61 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 197.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.06,6.38,35.91,1.55
2015,1,2,0.01,23.31,6.34,38.55,1.04
2015,1,3,0.22,21.32,9.34,43.45,0.89
2015,1,4,0.02,20.36,8.43,39.51,0.92
2015,1,5,0.0,20.05,5.5,43.65,1.72
2015,1,6,0.0,20.78,6.71,44.76,1.66
2015,1,7,0.0,21.99,6.41,45.54,1.38
2015,1,8,0.0,22.15,5.89,36.94,1.05
2015,1,9,0.0,20.47,8.37,30.0,0.84
2015,1,10,0.0,21.32,4.04,30.67,1.57
2015,1,11,0.0,23.23,5.05,25.4,1.6
2015,1,12,0.0,23.79,8.68,26.31,1.06
2015,1,13,4.32,22.17,5.27,45.07,1.68
2015,1,14,4.2,19.18,7.08,73.4,1.44
2015,1,15,0.01,19.84,6.56,72.78,0.98
2015,1,16,0.0,21.51,5.7,55.91,1.54
2015,1,17,0.0,22.58,6.96,43.78,1.66
2015,1,18,0.0,22.0,7.18,37.02,1.57
2015,1,19,0.0,22.26,7.35,35.73,1.01
2015,1,20,0.0,20.64,7.43,43.22,1.13
2015,1,21,8.92,16.0,7.71,62.11,2.61
2015,1,22,0.65,17.16,8.08,80.8,1.29
2015,1,23,0.11,19.15,7.58,73.73,0.9
2015,1,24,0.0,19.51,5.69,59.71,1.25
2015,1,25,0.0,19.4,5.8,51.09,1.31
2015,1,26,0.0,18.85,6.49,46.4,0.86
2015,1,27,0.0,17.78,5.61,51.65,1.29
2015,1,28,0.0,18.32,4.34,46.68,1.79
2015,1,29,0.0,19.33,5.44,39.66,1.42
2015,1,30,0.0,21.18,4.01,39.25,1.93
2015,1,31,0.0,22.66,6.55,34.28,1.27
2015,2,1,0.0,22.53,6.51,38.43,1.61
2015,2,2,2.54,22.02,7.93,51.81,1.52
2015,2,3,12.28,20.26,10.25,80.0,1.29
2015,2,4,0.02,22.55,6.46,66.91,1.83
2015,2,5,0.0,22.86,6.09,51.14,1.44
2015,2,6,0.0,21.53,8.65,42.6,0.78
2015,2,7,0.0,22.5,8.15,45.42,1.43
2015,2,8,0.0,23.67,9.09,58.08,1.97
2015,2,9,0.0,24.3,7.47,49.03,1.46
2015,2,10,0.0,24.43,8.34,38.23,1.28
2015,2,11,0.0,25.4,10.04,36.46,1.55
2015,2,12,0.0,25.81,8.43,33.57,1.5
2015,2,13,0.0,26.36,10.17,32.82,1.16
2015,2,14,0.0,29.62,12.41,37.78,1.33
2015,2,15,0.0,26.59,13.13,38.24,0.98
2015,2,16,0.97,30.01,11.19,42.43,2.52
2015,2,17,5.42,26.31,10.75,52.85,1.01
2015,2,18,0.09,26.52,13.03,48.01,1.25
2015,2,19,1.58,26.97,13.7,58.11,1.46
2015,2,20,6.9,22.67,11.98,78.58,1.94
2015,2,21,0.0,28.06,11.52,61.94,1.96
2015,2,22,0.0,29.74,11.73,56.06,2.06
2015,2,23,0.0,28.03,14.73,51.91,0.99
2015,2,24,3.28,27.75,15.77,54.21,1.68
2015,2,25,3.58,26.08,11.01,48.09,3.1
2015,2,26,0.0,23.68,7.69,32.79,0.96
2015,2,27,0.0,23.41,7.1,42.96,1.08
2015,2,28,0.0,22.81,9.44,42.09,1.21
2015,3,1,31.52,16.7,11.17,79.05,2.09
2015,3,2,6.08,19.74,11.76,73.3,2.04
2015,3,3,0.22,21.99,10.46,58.88,0.96
2015,3,4,1.39,23.24,8.54,55.9,1.17
2015,3,5,2.45,22.59,10.23,65.21,1.24
2015,3,6,0.05,24.65,9.0,62.05,1.23
2015,3,7,2.49,22.15,9.95,66.28,0.98
2015,3,8,1.08,23.68,9.03,70.54,2.09
2015,3,9,0.01,22.07,6.99,63.66,1.4
