-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  32.04   longitude 75.4 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 395.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.78,10.46,38.2,1.37
2015,1,2,0.04,22.39,10.15,36.77,1.01
2015,1,3,1.44,19.09,9.08,55.02,0.94
2015,1,4,0.14,18.77,8.01,49.45,1.34
2015,1,5,0.0,20.2,6.42,40.36,1.63
2015,1,6,0.0,21.68,9.23,39.02,1.47
2015,1,7,0.0,20.15,8.38,41.01,1.12
2015,1,8,0.0,22.08,9.36,33.15,1.09
2015,1,9,0.0,20.67,8.03,32.25,1.15
2015,1,10,0.0,21.12,6.7,28.57,1.65
2015,1,11,0.0,22.63,7.7,26.63,1.55
2015,1,12,0.0,21.92,10.66,26.36,0.88
2015,1,13,0.53,19.08,9.58,39.36,1.04
2015,1,14,7.61,15.5,9.98,69.66,1.24
2015,1,15,0.0,19.89,7.4,67.93,1.47
2015,1,16,0.0,20.63,8.67,50.62,1.16
2015,1,17,0.0,20.87,9.01,43.07,1.23
2015,1,18,0.0,20.86,9.05,35.67,1.29
2015,1,19,0.0,20.97,8.21,37.17,1.27
2015,1,20,0.0,20.01,8.71,40.27,1.13
2015,1,21,14.21,17.1,8.27,63.4,1.61
2015,1,22,4.03,13.73,9.19,88.18,1.16
2015,1,23,0.18,17.22,9.08,77.57,0.99
2015,1,24,0.0,19.91,7.62,61.94,1.44
2015,1,25,0.0,18.76,9.47,53.09,1.2
2015,1,26,0.03,18.22,8.35,48.71,0.82
2015,1,27,0.03,16.45,6.66,54.81,1.23
2015,1,28,0.0,18.44,6.03,46.84,1.42
2015,1,29,0.0,16.37,7.69,45.95,0.91
2015,1,30,0.0,19.84,6.74,40.92,1.71
2015,1,31,0.0,21.32,8.31,38.74,1.42
2015,2,1,0.0,21.24,7.67,46.35,1.54
2015,2,2,2.23,21.38,11.26,56.59,1.59
2015,2,3,19.08,16.26,10.38,82.58,1.74
2015,2,4,0.0,21.55,9.63,56.85,1.34
2015,2,5,0.0,22.18,9.06,41.66,1.24
2015,2,6,0.0,20.31,10.27,41.41,1.12
2015,2,7,0.0,21.68,10.57,45.85,1.32
2015,2,8,0.14,22.31,10.49,56.24,2.08
2015,2,9,0.0,23.42,9.87,49.36,1.68
2015,2,10,0.0,23.89,12.04,42.31,1.44
2015,2,11,0.0,24.07,12.51,39.87,1.08
2015,2,12,0.0,23.78,10.78,36.0,1.42
2015,2,13,0.0,24.15,10.97,38.7,1.33
2015,2,14,0.0,27.32,12.3,45.2,1.71
2015,2,15,0.04,26.77,13.51,46.61,1.29
2015,2,16,9.62,25.16,13.81,54.84,1.69
2015,2,17,4.56,26.0,14.75,53.84,1.23
2015,2,18,2.03,24.88,14.31,54.85,1.31
2015,2,19,15.45,23.45,14.24,60.15,2.18
2015,2,20,11.57,22.69,13.08,70.6,1.99
2015,2,21,0.0,26.91,14.14,52.84,2.02
2015,2,22,0.0,29.06,13.79,51.32,1.71
2015,2,23,0.0,25.12,15.61,51.58,0.84
2015,2,24,0.58,27.63,17.03,53.46,1.27
2015,2,25,18.88,20.69,10.4,73.62,4.07
2015,2,26,0.03,21.18,8.88,55.77,1.44
2015,2,27,0.01,21.52,9.04,46.5,1.38
2015,2,28,0.26,20.69,10.48,48.28,1.25
2015,3,1,47.28,15.97,12.27,82.7,3.3
2015,3,2,36.83,15.32,11.19,90.52,3.4
2015,3,3,1.88,18.29,10.73,74.03,0.92
2015,3,4,1.98,19.77,9.2,67.0,1.62
2015,3,5,3.15,17.93,11.02,70.72,1.22
2015,3,6,0.05,22.0,10.89,64.02,1.35
2015,3,7,5.19,19.84,11.55,65.46,1.21
2015,3,8,7.31,20.86,7.84,77.92,3.2
2015,3,9,0.96,19.12,7.58,67.01,1.57
2015,3,10,0.0,23.59,9.23,52.73,1.68
2015,3,11,0.0,23.05,12.22,48.19,0.97
2015,3,12,0.0,25.15,14.28,47.3,1.07
2015,3,13,0.0,24.66,14.62,45.4,0.89
2015,3,14,1.55,26.3,15.43,54.91,1.16
2015,3,15,9.43,22.8,14.61,75.58,2.19
2015,3,16,20.38,18.41,13.43,87.91,2.46
2015,3,17,0.39,22.51,13.67,71.48,1.36
2015,3,18,0.0,24.78,12.41,66.28,1.69
2015,3,19,0.0,26.05,14.35,57.66,1.5
2015,3,20,0.0,27.44,15.44,55.68,1.46
2015,3,21,0.0,28.42,16.5,55.39,1.61
2015,3,22,0.0,29.67,18.16,56.1,1.62
2015,3,23,0.0,31.01,18.22,57.63,1.58
2015,3,24,0.26,31.75,20.06,55.39,1.23
2015,3,25,0.24,32.15,18.96,54.92,2.03
2015,3,26,0.0,32.14,19.43,47.64,1.5
2015,3,27,0.0,32.6,19.64,43.31,1.58
2015,3,28,0.18,34.22,19.99,42.27,1.18
2015,3,29,16.57,24.81,17.99,65.42,1.62
2015,3,30,26.76,26.03,17.92,74.31,1.57
2015,3,31,1.48,26.55,16.42,68.48,1.0
2015,4,1,2.71,25.74,18.42,72.54,1.37
2015,4,2,1.8,29.23,18.13,61.95,1.45
2015,4,3,6.69,25.79,15.95,69.49,2.26
2015,4,4,3.3,25.68,18.14,65.82,1.16
2015,4,5,0.12,26.27,16.81,66.14,1.39
2015,4,6,2.52,28.09,17.52,61.25,1.83
2015,4,7,7.35,21.13,17.87,75.57,1.0
2015,4,8,0.05,27.26,16.4,63.15,1.33
2015,4,9,0.0,28.99,17.53,58.82,1.68
2015,4,10,0.0,30.84,18.83,53.98,1.64
2015,4,11,0.0,31.38,20.02,54.54,1.39
2015,4,12,0.01,30.39,19.92,53.75,1.71
2015,4,13,0.0,30.96,17.93,59.21,1.58
2015,4,14,0.01,29.65,18.53,64.18,1.8
2015,4,15,24.23,29.74,20.25,67.58,1.5
2015,4,16,3.91,29.3,19.91,69.35,1.57
2015,4,17,0.0,31.86,19.4,61.98,2.36
2015,4,18,0.0,34.38,22.47,48.49,1.91
2015,4,19,0.0,36.0,23.28,43.3,1.3
2015,4,20,3.29,36.04,21.78,48.84,2.42
2015,4,21,0.02,34.29,21.79,48.05,1.68
2015,4,22,0.0,35.1,20.03,46.64,2.21
2015,4,23,0.0,35.97,22.4,39.06,1.73
2015,4,24,0.0,37.01,23.85,36.77,1.45
2015,4,25,0.0,37.59,24.85,33.68,1.42
2015,4,26,0.28,34.25,20.74,44.06,2.04
2015,4,27,0.96,35.3,22.11,47.93,1.85
2015,4,28,0.8,36.15,23.82,42.04,2.0
2015,4,29,1.17,36.76,22.14,38.94,1.72
2015,4,30,4.19,35.08,22.62,43.63,1.78
2015,5,1,1.44,35.09,21.62,39.96,1.99
2015,5,2,0.0,35.66,20.2,34.17,2.14
2015,5,3,0.0,36.87,22.51,30.34,2.09
2015,5,4,0.0,38.06,20.86,32.26,2.26
2015,5,5,0.0,38.57,24.19,32.86,1.69
2015,5,6,0.0,39.79,24.5,34.82,1.86
2015,5,7,0.0,40.83,26.4,32.35,1.3
2015,5,8,0.0,39.48,27.11,33.0,1.46
2015,5,9,0.0,40.61,25.96,35.42,1.55
2015,5,10,0.31,40.16,26.44,35.78,1.41
2015,5,11,1.0,38.72,26.8,36.84,2.02
2015,5,12,4.42,36.52,26.16,42.33,1.72
2015,5,13,5.22,36.12,23.46,45.39,2.16
2015,5,14,9.12,33.98,25.01,48.69,1.39
2015,5,15,0.33,35.71,24.06,43.92,1.26
2015,5,16,0.15,38.8,25.21,37.95,1.94
2015,5,17,0.43,38.35,25.04,37.38,1.49
2015,5,18,0.24,41.03,27.92,37.09,1.86
2015,5,19,0.01,41.32,26.84,30.92,2.51
2015,5,20,0.01,40.85,25.17,27.48,2.97
2015,5,21,0.0,41.75,24.18,26.85,2.92
2015,5,22,0.0,42.48,26.21,23.5,2.49
2015,5,23,0.0,42.68,27.8,24.07,1.92
2015,5,24,0.1,43.03,28.53,25.83,1.71
2015,5,25,0.23,42.87,28.67,24.83,2.04
2015,5,26,0.05,41.43,26.1,21.89,2.86
2015,5,27,0.0,40.8,23.9,19.68,1.57
2015,5,28,0.0,41.31,26.21,19.6,2.17
2015,5,29,0.0,40.74,26.9,24.25,1.93
2015,5,30,0.03,41.38,26.07,26.7,2.48
2015,5,31,0.17,40.7,27.15,24.87,1.62
2015,6,1,0.42,39.0,27.24,24.29,2.06
2015,6,2,0.06,36.57,26.29,30.64,1.62
2015,6,3,0.64,39.03,26.32,30.43,1.54
2015,6,4,4.92,32.58,25.64,49.24,1.65
2015,6,5,0.1,38.42,26.45,37.1,1.72
2015,6,6,0.0,40.31,25.31,30.09,2.37
2015,6,7,0.0,41.49,27.51,26.35,1.23
2015,6,8,0.16,43.57,29.02,22.86,1.99
2015,6,9,0.33,43.68,29.32,22.26,2.58
2015,6,10,0.66,42.94,28.95,26.74,2.14
2015,6,11,4.86,40.76,27.42,30.63,2.65
2015,6,12,1.27,42.29,27.23,29.3,2.54
2015,6,13,2.94,40.61,27.22,34.34,1.73
2015,6,14,6.37,39.74,28.81,35.24,1.8
2015,6,15,13.46,36.57,25.97,52.73,1.9
2015,6,16,0.0,39.8,26.13,37.86,2.27
2015,6,17,0.0,41.61,27.14,34.46,2.24
2015,6,18,0.02,43.1,28.96,33.04,2.1
2015,6,19,0.08,44.13,29.4,35.96,2.11
2015,6,20,4.53,39.16,29.29,43.75,3.15
2015,6,21,3.62,40.94,29.82,39.6,1.85
2015,6,22,0.95,41.13,28.55,37.16,1.85
2015,6,23,11.89,40.06,29.21,42.23,1.5
2015,6,24,4.43,37.79,27.78,46.4,2.66
2015,6,25,11.02,37.3,26.42,44.82,1.49
2015,6,26,0.0,39.41,26.41,33.82,2.21
2015,6,27,0.0,40.35,27.53,31.94,2.25
2015,6,28,0.16,42.2,27.93,30.34,1.52
2015,6,29,1.46,41.35,27.8,34.51,2.1
2015,6,30,19.03,37.84,27.13,51.09,1.41
2015,7,1,0.0,38.77,27.44,41.6,1.23
2015,7,2,0.03,38.62,27.13,42.34,1.44
2015,7,3,0.02,41.31,29.3,37.94,2.12
2015,7,4,0.05,41.97,28.77,42.54,2.2
2015,7,5,4.67,42.89,30.79,42.52,2.4
2015,7,6,14.08,33.12,26.71,69.96,3.39
2015,7,7,6.07,35.46,26.28,65.82,2.22
2015,7,8,3.73,35.89,27.19,57.57,1.84
2015,7,9,12.37,36.79,27.91,56.97,1.49
2015,7,10,11.79,37.68,27.01,57.33,1.87
2015,7,11,31.14,32.04,26.19,72.78,1.75
2015,7,12,33.32,33.85,26.05,66.59,1.88
2015,7,13,1.87,36.27,25.59,61.72,1.43
2015,7,14,0.04,37.4,25.85,58.37,1.34
2015,7,15,0.08,38.83,28.44,53.03,1.41
2015,7,16,4.4,39.0,28.91,54.46,1.83
2015,7,17,63.79,31.82,26.83,78.58,1.69
2015,7,18,25.58,31.31,25.97,76.45,1.34
2015,7,19,2.54,31.98,25.44,77.64,0.94
2015,7,20,2.35,34.25,25.46,71.63,1.43
2015,7,21,5.24,34.76,25.51,69.83,1.13
2015,7,22,2.39,33.56,26.75,69.55,1.22
2015,7,23,12.31,33.4,25.72,75.79,1.37
2015,7,24,10.52,32.49,26.22,80.57,1.59
2015,7,25,8.77,33.19,26.17,77.47,1.4
2015,7,26,22.26,30.33,26.81,84.34,1.34
2015,7,27,0.19,31.72,26.41,78.83,1.37
2015,7,28,1.26,32.94,25.79,77.12,1.7
2015,7,29,0.05,33.43,24.73,74.2,1.69
2015,7,30,0.0,33.64,25.89,75.46,1.98
2015,7,31,0.69,33.56,25.17,75.34,2.35
2015,8,1,7.65,32.92,25.17,79.96,2.71
2015,8,2,7.34,32.1,25.07,80.64,2.27
2015,8,3,1.67,33.26,24.79,75.29,1.43
2015,8,4,0.23,34.61,26.4,70.28,1.19
2015,8,5,7.44,34.6,27.01,69.43,1.54
2015,8,6,12.2,35.13,26.78,69.28,1.43
2015,8,7,1.61,35.74,26.9,69.99,1.27
2015,8,8,3.86,34.37,26.69,75.04,1.98
2015,8,9,1.48,34.68,26.23,68.0,1.22
2015,8,10,0.27,35.63,26.47,62.76,1.32
2015,8,11,3.12,35.95,27.6,60.33,1.19
2015,8,12,26.01,32.92,25.42,76.33,1.53
2015,8,13,12.28,33.37,25.69,72.84,1.1
2015,8,14,0.76,34.14,26.34,72.41,1.24
2015,8,15,17.81,33.02,27.31,76.95,1.48
2015,8,16,4.21,33.78,26.19,73.85,1.13
2015,8,17,3.23,33.81,25.41,68.98,1.62
2015,8,18,16.66,34.5,26.2,65.44,1.52
2015,8,19,6.49,34.51,26.64,67.21,1.19
2015,8,20,7.88,33.8,25.82,70.95,1.27
2015,8,21,19.77,33.35,25.11,73.2,1.3
2015,8,22,9.56,32.55,25.33,73.11,1.58
2015,8,23,0.14,32.85,24.2,69.11,1.33
2015,8,24,0.08,33.94,24.79,64.93,1.41
2015,8,25,0.0,34.45,24.93,60.58,1.56
2015,8,26,0.0,35.23,24.97,61.72,1.4
2015,8,27,0.02,35.27,25.86,58.33,1.15
2015,8,28,0.02,31.16,26.6,66.2,0.79
2015,8,29,0.0,35.13,24.99,59.45,1.35
2015,8,30,0.02,35.55,25.81,58.68,1.55
2015,8,31,0.11,35.57,25.63,56.31,1.55
2015,9,1,0.0,35.55,24.34,52.09,1.74
2015,9,2,0.06,35.88,25.24,48.59,1.37
2015,9,3,0.04,35.69,23.12,51.7,1.24
2015,9,4,0.0,35.35,23.39,48.61,1.09
2015,9,5,0.36,35.0,24.56,47.83,1.1
2015,9,6,1.0,34.73,23.14,53.23,1.24
2015,9,7,0.0,35.53,22.97,51.29,1.51
2015,9,8,0.0,35.79,24.47,49.56,1.54
2015,9,9,0.0,36.96,24.56,47.75,1.63
2015,9,10,0.0,35.91,24.62,43.63,1.21
2015,9,11,0.0,36.37,24.06,43.04,1.28
2015,9,12,0.0,36.97,23.77,41.9,1.25
2015,9,13,0.0,36.81,24.33,43.48,1.51
2015,9,14,0.0,37.27,26.2,42.09,1.32
2015,9,15,0.03,37.16,24.98,40.83,1.23
2015,9,16,5.43,36.31,23.38,42.1,1.15
2015,9,17,2.61,36.07,24.29,46.91,1.16
2015,9,18,0.0,37.02,24.12,44.06,1.18
2015,9,19,0.78,35.53,23.6,51.18,1.49
2015,9,20,7.8,30.58,24.96,69.11,0.89
2015,9,21,8.31,34.87,24.8,56.02,1.25
2015,9,22,70.07,30.68,24.48,78.87,1.83
2015,9,23,8.4,28.49,22.28,82.18,2.21
2015,9,24,0.0,31.02,21.56,66.18,1.54
2015,9,25,0.02,31.81,21.93,61.11,1.36
2015,9,26,0.0,32.49,22.32,56.79,1.07
2015,9,27,0.0,32.5,22.27,55.28,1.44
