-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  28.46   longitude 77.03 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.98,8.31,44.34,1.09
2015,1,2,7.24,19.71,11.25,62.46,1.15
2015,1,3,3.34,20.13,9.91,75.79,0.62
2015,1,4,0.0,21.24,7.73,64.43,1.82
2015,1,5,0.0,22.32,6.1,46.47,3.2
2015,1,6,0.0,22.01,6.4,54.81,2.08
2015,1,7,0.0,21.1,6.4,56.24,1.63
2015,1,8,0.0,21.67,5.02,44.37,1.63
2015,1,9,0.0,21.32,4.92,36.51,1.33
2015,1,10,0.0,21.29,3.52,38.76,1.79
2015,1,11,0.0,23.42,4.13,35.73,1.85
2015,1,12,0.0,24.58,5.23,35.91,1.37
2015,1,13,0.0,22.77,4.75,40.59,2.24
2015,1,14,1.88,18.62,6.38,55.58,1.75
2015,1,15,0.0,19.3,4.55,67.6,1.22
2015,1,16,0.0,21.03,5.16,61.85,1.23
2015,1,17,0.0,22.85,6.93,55.18,1.7
2015,1,18,0.0,22.59,6.0,48.43,1.61
2015,1,19,0.0,22.54,6.35,40.01,1.27
2015,1,20,0.0,21.07,5.59,40.93,1.46
2015,1,21,2.47,20.53,6.97,44.07,1.95
2015,1,22,5.97,18.48,9.14,76.05,1.34
2015,1,23,2.9,19.73,7.9,80.54,0.95
2015,1,24,0.0,21.36,6.71,66.45,1.34
2015,1,25,0.0,21.02,6.36,47.32,1.35
2015,1,26,2.19,19.11,6.6,61.5,0.97
2015,1,27,0.01,19.4,5.43,65.57,1.65
2015,1,28,0.0,18.77,2.9,52.12,1.78
2015,1,29,0.0,19.42,2.91,43.12,1.93
2015,1,30,0.0,20.69,3.25,39.55,2.28
2015,1,31,0.0,23.55,4.95,34.66,2.0
2015,2,1,0.0,22.43,6.8,38.74,1.65
2015,2,2,0.05,24.58,8.5,44.25,2.17
2015,2,3,1.32,23.72,9.61,59.96,1.83
2015,2,4,0.09,23.13,6.95,63.84,2.01
2015,2,5,0.0,23.57,5.48,48.13,1.73
2015,2,6,0.0,24.34,8.55,38.36,0.97
2015,2,7,0.01,25.03,8.48,42.37,1.18
2015,2,8,0.01,25.47,11.49,44.79,1.28
2015,2,9,0.07,25.44,8.34,49.56,1.52
2015,2,10,0.0,24.97,8.13,41.88,1.69
2015,2,11,0.0,24.62,8.41,37.54,1.45
2015,2,12,0.0,25.26,7.16,34.78,1.51
2015,2,13,0.0,27.66,7.5,29.01,2.11
2015,2,14,0.0,30.68,11.44,33.73,1.26
2015,2,15,0.0,29.75,12.87,32.23,1.1
2015,2,16,0.0,28.42,12.16,35.05,2.07
2015,2,17,0.0,28.36,11.31,41.86,1.07
2015,2,18,0.0,28.97,14.67,37.0,0.93
2015,2,19,0.12,30.05,12.81,39.51,1.81
2015,2,20,1.47,31.56,13.57,40.79,1.21
2015,2,21,0.01,30.77,14.75,37.03,2.02
2015,2,22,0.0,31.8,13.95,42.42,2.66
2015,2,23,0.0,28.32,15.74,38.47,1.01
2015,2,24,0.0,29.05,15.45,37.24,1.62
2015,2,25,0.91,30.28,13.49,33.08,2.58
2015,2,26,0.0,25.82,8.25,20.13,1.55
2015,2,27,0.05,27.11,8.86,20.58,1.25
2015,2,28,0.11,27.23,8.92,29.35,1.3
2015,3,1,24.28,21.11,13.11,80.7,4.45
2015,3,2,28.27,18.98,11.99,86.06,1.88
2015,3,3,0.51,23.51,10.54,62.67,1.13
2015,3,4,0.0,24.04,9.66,46.56,1.7
2015,3,5,0.0,26.72,12.12,34.6,0.9
2015,3,6,0.05,27.51,10.44,50.47,1.27
2015,3,7,6.69,27.81,12.59,53.68,1.34
2015,3,8,0.42,26.54,13.95,54.11,1.68
2015,3,9,1.09,24.81,7.18,43.71,2.45
2015,3,10,0.0,26.03,7.69,46.93,2.02
2015,3,11,0.0,28.49,9.79,35.19,1.51
2015,3,12,0.0,30.48,13.64,38.56,1.44
2015,3,13,0.27,30.24,15.69,50.02,1.04
2015,3,14,0.3,28.26,16.31,58.77,1.56
2015,3,15,9.87,24.79,15.43,75.03,3.79
2015,3,16,3.03,25.28,14.09,71.34,1.89
2015,3,17,0.0,27.07,12.46,59.79,2.27
2015,3,18,0.0,27.71,11.74,54.69,2.78
2015,3,19,0.0,29.43,11.65,42.79,1.64
2015,3,20,0.0,31.74,15.68,34.17,1.43
2015,3,21,0.0,32.73,17.82,35.77,1.32
2015,3,22,0.0,33.62,15.83,46.61,2.17
2015,3,23,0.0,34.16,17.09,44.24,2.09
2015,3,24,0.0,36.05,18.53,31.44,1.22
2015,3,25,0.0,36.06,20.07,31.29,1.02
2015,3,26,0.0,36.36,20.01,36.98,1.04
2015,3,27,0.0,36.62,20.54,36.86,1.53
2015,3,28,0.0,36.81,20.86,28.93,1.4
2015,3,29,6.53,29.92,18.08,45.0,2.29
2015,3,30,3.09,28.94,17.59,64.62,3.31
2015,3,31,0.0,31.53,16.77,56.03,1.46
2015,4,1,0.0,33.51,19.91,46.55,1.46
2015,4,2,0.1,35.9,18.91,43.18,1.41
2015,4,3,8.35,29.88,20.33,58.1,2.27
2015,4,4,18.39,24.7,18.28,74.23,0.99
2015,4,5,0.0,31.1,15.89,53.97,0.72
2015,4,6,0.0,31.94,17.39,40.6,1.42
2015,4,7,0.34,31.62,19.37,41.52,0.9
2015,4,8,0.22,32.45,19.4,44.13,1.26
2015,4,9,0.0,33.57,15.66,44.0,2.06
2015,4,10,0.0,34.99,16.28,40.36,1.86
2015,4,11,0.0,36.69,21.45,30.94,0.79
2015,4,12,2.6,32.98,19.48,48.03,1.39
2015,4,13,3.04,31.53,20.84,56.57,2.07
2015,4,14,0.21,32.4,19.52,56.12,1.45
2015,4,15,1.27,33.62,20.64,50.36,1.4
2015,4,16,0.05,34.74,20.81,50.29,1.4
2015,4,17,0.86,35.64,19.66,46.84,2.53
2015,4,18,0.0,39.17,20.85,39.64,2.21
2015,4,19,0.0,40.61,23.12,34.93,1.34
2015,4,20,0.0,39.4,22.57,34.23,2.37
2015,4,21,0.0,38.62,20.63,33.95,2.64
2015,4,22,0.0,39.27,19.57,28.43,2.44
2015,4,23,0.0,39.85,23.95,22.42,1.23
2015,4,24,0.0,40.52,24.26,19.72,1.06
2015,4,25,0.0,40.71,25.07,19.98,1.51
2015,4,26,0.0,37.11,21.66,39.59,2.88
2015,4,27,0.0,38.94,22.5,36.56,2.89
2015,4,28,0.69,39.28,23.8,36.81,1.6
2015,4,29,0.11,38.92,25.85,28.38,0.92
2015,4,30,0.0,40.67,23.72,29.06,2.12
2015,5,1,0.38,38.11,22.94,31.08,1.46
2015,5,2,0.14,38.57,26.06,26.57,1.33
2015,5,3,0.0,40.19,24.65,19.56,1.06
2015,5,4,0.0,40.95,25.39,16.17,1.04
2015,5,5,0.0,42.47,23.69,17.23,2.05
2015,5,6,0.0,43.55,23.18,14.28,3.83
2015,5,7,0.0,44.21,25.2,14.94,4.08
2015,5,8,0.0,43.73,26.21,16.69,3.27
2015,5,9,0.0,43.23,26.45,22.45,2.37
2015,5,10,0.0,43.18,28.03,22.57,2.26
2015,5,11,0.06,43.15,27.77,22.67,1.56
2015,5,12,0.17,40.49,29.25,25.27,1.26
2015,5,13,0.28,40.52,26.74,25.93,1.55
2015,5,14,1.75,38.8,25.8,27.52,1.44
2015,5,15,0.22,39.74,26.07,28.57,2.27
2015,5,16,1.18,40.55,27.66,24.12,1.33
2015,5,17,0.0,41.98,25.54,22.21,1.81
2015,5,18,0.0,43.92,27.74,19.2,1.44
2015,5,19,0.0,45.4,31.43,16.77,2.26
2015,5,20,0.89,43.46,28.36,17.4,3.93
2015,5,21,0.0,44.47,27.15,16.94,3.73
2015,5,22,0.0,45.0,29.27,16.35,3.69
2015,5,23,0.0,45.54,27.87,14.56,4.49
2015,5,24,0.08,46.2,27.6,13.75,2.84
2015,5,25,0.0,46.25,26.98,11.29,3.38
2015,5,26,0.0,45.99,27.95,10.82,4.61
2015,5,27,0.05,44.11,22.65,6.37,3.18
2015,5,28,0.0,43.43,25.85,10.51,2.88
2015,5,29,0.04,44.48,27.1,21.29,3.04
2015,5,30,0.0,43.62,28.2,21.5,2.95
2015,5,31,0.0,44.24,29.35,20.13,2.82
2015,6,1,1.79,42.77,29.0,18.47,1.49
2015,6,2,0.31,41.3,27.06,27.51,2.04
