-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.15   longitude 75.72 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 217.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.25,7.89,33.45,1.19
2015,1,2,3.11,23.33,10.84,50.59,1.49
2015,1,3,0.36,21.09,9.64,69.01,0.7
2015,1,4,0.0,21.46,8.24,54.88,1.41
2015,1,5,0.0,21.52,6.01,44.84,2.15
2015,1,6,0.0,21.66,6.37,52.55,1.77
2015,1,7,0.0,21.75,8.29,49.32,1.42
2015,1,8,0.0,22.15,6.02,38.59,1.28
2015,1,9,0.0,21.41,6.84,29.74,1.09
2015,1,10,0.0,21.0,6.11,29.79,1.44
2015,1,11,0.0,23.66,5.82,27.05,1.68
2015,1,12,0.0,26.05,7.14,26.42,1.46
2015,1,13,0.08,24.82,6.38,35.27,2.37
2015,1,14,2.93,21.21,7.34,49.28,1.45
2015,1,15,0.06,19.7,5.98,65.54,1.07
2015,1,16,0.0,21.33,5.83,58.98,1.07
2015,1,17,0.0,22.75,7.86,53.25,1.64
2015,1,18,0.0,22.83,8.27,42.92,1.54
2015,1,19,0.0,23.03,7.21,35.35,1.08
2015,1,20,0.0,22.05,6.2,34.35,2.18
2015,1,21,0.64,20.67,7.71,40.54,3.41
2015,1,22,6.92,18.69,9.78,70.47,1.94
2015,1,23,0.3,19.66,8.43,71.22,0.82
2015,1,24,0.0,20.25,7.17,55.59,1.24
2015,1,25,0.0,20.14,8.23,44.82,1.11
2015,1,26,0.2,19.31,6.0,50.57,0.83
2015,1,27,0.18,18.48,6.35,55.76,1.23
2015,1,28,0.0,18.12,3.73,51.21,1.73
2015,1,29,0.0,19.62,3.7,36.95,1.81
2015,1,30,0.0,20.65,4.68,34.03,1.98
2015,1,31,0.0,23.55,5.7,30.7,1.58
2015,2,1,0.0,23.26,7.19,36.7,2.39
2015,2,2,4.53,24.54,8.68,44.91,2.6
2015,2,3,0.69,22.54,7.99,66.44,1.71
2015,2,4,0.02,22.45,6.94,66.3,1.74
2015,2,5,0.0,23.17,5.7,50.02,1.51
2015,2,6,0.0,23.56,7.2,39.58,1.19
2015,2,7,0.0,24.1,7.63,45.09,1.52
2015,2,8,0.0,25.01,10.34,46.84,1.47
2015,2,9,0.08,25.07,8.87,49.46,1.2
2015,2,10,0.0,24.61,9.93,39.8,1.37
2015,2,11,0.0,24.53,9.79,33.29,1.44
2015,2,12,0.0,25.62,8.41,27.2,1.47
2015,2,13,0.0,27.64,8.48,25.84,1.92
2015,2,14,0.0,30.79,12.37,31.71,1.39
2015,2,15,0.0,30.5,13.83,26.63,1.15
2015,2,16,0.01,30.45,14.13,27.24,2.93
2015,2,17,0.01,28.66,11.31,40.33,1.25
2015,2,18,0.0,29.02,13.69,36.22,1.26
2015,2,19,0.03,29.62,13.39,36.35,1.96
2015,2,20,0.39,31.94,13.55,38.39,1.46
2015,2,21,0.29,30.67,12.95,41.19,1.77
2015,2,22,0.0,31.32,13.13,45.52,2.16
2015,2,23,0.0,28.4,16.59,37.82,0.85
2015,2,24,0.0,30.81,16.59,32.46,2.36
2015,2,25,1.48,29.57,11.17,31.42,3.29
2015,2,26,0.0,24.74,7.41,18.2,1.48
2015,2,27,0.01,25.72,11.06,17.09,1.03
2015,2,28,0.04,24.81,9.3,30.57,1.87
2015,3,1,34.79,21.8,12.66,78.58,4.28
2015,3,2,3.29,21.11,12.33,73.69,1.44
2015,3,3,0.32,23.05,10.18,56.27,0.98
2015,3,4,0.0,24.25,11.34,40.88,0.97
2015,3,5,0.0,26.98,9.68,39.26,1.34
2015,3,6,0.81,27.29,9.66,58.35,1.2
2015,3,7,8.5,27.03,11.74,61.54,1.62
2015,3,8,0.64,25.52,10.28,56.77,2.07
2015,3,9,0.0,23.29,7.25,45.78,1.78
2015,3,10,0.0,25.52,7.15,45.25,1.58
2015,3,11,0.0,28.34,11.52,35.19,1.18
2015,3,12,0.0,30.01,13.9,37.93,1.18
2015,3,13,0.21,30.7,14.62,47.06,0.99
2015,3,14,0.5,26.42,16.44,59.78,2.12
2015,3,15,17.31,23.47,14.67,78.28,3.85
2015,3,16,6.58,24.89,13.8,71.7,1.87
2015,3,17,0.2,25.73,13.5,59.8,1.88
2015,3,18,0.0,27.35,11.22,56.4,2.4
2015,3,19,0.0,29.54,13.99,41.13,1.32
2015,3,20,0.0,31.94,15.76,33.73,1.02
2015,3,21,0.0,32.78,18.29,36.52,0.96
2015,3,22,0.0,33.0,17.65,47.79,1.78
2015,3,23,0.0,34.19,16.5,44.58,1.8
2015,3,24,0.0,36.2,21.52,31.09,1.12
2015,3,25,0.0,36.15,18.99,36.42,1.5
2015,3,26,0.0,35.5,19.49,40.71,1.05
2015,3,27,0.0,36.74,20.5,35.84,1.08
2015,3,28,0.0,37.13,20.72,29.77,1.05
2015,3,29,3.73,30.49,19.6,46.45,2.8
2015,3,30,2.53,30.13,17.09,63.73,3.58
2015,3,31,0.0,31.19,16.52,59.44,1.73
2015,4,1,0.0,34.03,19.26,48.42,1.78
2015,4,2,0.02,36.04,17.84,45.96,1.78
2015,4,3,32.77,28.54,17.65,65.27,2.14
2015,4,4,13.15,27.71,18.03,66.28,0.9
2015,4,5,0.02,31.05,16.34,47.57,0.68
2015,4,6,0.21,31.71,18.28,41.38,1.24
2015,4,7,1.9,31.28,18.99,46.99,1.33
2015,4,8,0.21,31.71,16.27,50.88,1.59
2015,4,9,0.0,32.84,16.35,45.96,1.61
2015,4,10,0.0,34.38,17.2,39.24,1.33
2015,4,11,1.77,36.5,19.28,35.96,1.46
2015,4,12,1.21,31.86,20.55,50.38,1.23
2015,4,13,0.27,33.09,19.95,52.14,1.74
2015,4,14,0.04,32.72,19.02,57.32,1.97
2015,4,15,2.66,34.17,20.5,50.36,1.54
2015,4,16,3.56,33.74,20.45,52.39,1.5
2015,4,17,7.71,34.45,21.1,48.04,1.51
2015,4,18,0.0,38.06,22.28,40.99,1.53
2015,4,19,0.0,40.7,22.66,37.41,1.5
2015,4,20,0.0,40.41,22.35,31.63,2.16
2015,4,21,0.0,37.95,20.56,39.74,2.36
2015,4,22,0.0,38.7,20.27,30.1,2.04
2015,4,23,0.0,39.85,23.66,22.22,1.22
2015,4,24,0.0,40.29,21.78,23.68,1.31
2015,4,25,0.0,40.64,22.03,24.9,1.76
2015,4,26,0.0,38.37,21.63,34.4,3.28
2015,4,27,0.0,39.8,22.35,36.75,3.17
2015,4,28,0.37,39.5,23.46,34.75,1.41
2015,4,29,0.78,39.06,25.99,27.31,0.95
2015,4,30,0.0,41.0,23.42,27.71,2.44
2015,5,1,0.8,38.2,20.75,35.74,1.34
2015,5,2,0.01,38.63,24.02,26.6,1.46
2015,5,3,0.0,40.4,24.11,18.06,1.09
2015,5,4,0.0,41.19,25.49,15.76,1.33
2015,5,5,0.0,42.39,23.56,16.22,2.54
2015,5,6,0.0,43.24,23.23,14.88,4.12
2015,5,7,0.0,43.88,24.7,16.16,3.93
2015,5,8,0.0,43.08,26.11,19.01,3.27
2015,5,9,0.0,43.12,26.66,24.8,2.69
2015,5,10,0.0,42.96,28.65,24.03,3.46
2015,5,11,0.27,42.19,27.73,25.97,2.33
2015,5,12,0.31,39.1,28.74,27.26,1.62
2015,5,13,0.77,39.64,25.25,27.95,1.82
2015,5,14,3.33,37.51,25.92,34.31,1.05
2015,5,15,0.01,38.96,26.01,30.56,1.96
2015,5,16,0.28,40.64,26.34,25.49,1.42
2015,5,17,0.0,42.12,26.02,21.87,2.07
2015,5,18,0.0,43.72,28.65,19.32,1.37
2015,5,19,0.0,44.43,29.29,21.51,2.29
2015,5,20,1.05,42.99,27.48,18.78,3.27
2015,5,21,0.0,43.84,26.05,20.27,3.31
2015,5,22,0.0,44.64,28.97,18.67,3.48
2015,5,23,0.0,45.15,27.79,15.68,4.33
2015,5,24,0.0,45.12,27.57,15.06,3.11
2015,5,25,0.0,44.88,26.19,13.78,3.96
2015,5,26,0.0,44.1,26.46,12.49,4.76
2015,5,27,0.0,43.15,23.33,8.28,2.62
2015,5,28,0.29,42.62,26.74,14.67,2.82
2015,5,29,0.61,42.93,27.49,23.77,3.35
2015,5,30,0.0,43.04,27.68,23.89,2.92
2015,5,31,0.05,42.97,29.0,22.07,2.69
2015,6,1,0.51,42.55,28.06,20.66,2.69
2015,6,2,0.05,41.25,26.14,33.27,3.11
2015,6,3,0.36,39.33,27.63,31.39,1.19
2015,6,4,0.79,38.87,28.44,27.96,1.75
2015,6,5,0.4,39.61,27.05,29.59,2.3
2015,6,6,0.0,41.33,27.84,25.41,2.84
2015,6,7,0.0,43.1,28.77,22.2,2.6
2015,6,8,0.0,45.21,30.21,17.97,2.59
2015,6,9,0.0,44.18,30.45,22.07,4.89
2015,6,10,0.04,40.84,31.04,33.68,5.52
2015,6,11,0.09,41.91,29.73,32.48,4.1
2015,6,12,0.0,42.41,29.89,35.39,3.97
2015,6,13,12.64,42.08,30.05,38.67,3.5
2015,6,14,13.45,35.37,27.66,54.55,2.63
2015,6,15,0.23,37.52,27.21,52.32,1.63
2015,6,16,1.12,38.5,28.48,46.08,0.92
2015,6,17,0.48,40.45,29.02,37.72,1.33
2015,6,18,0.01,41.79,30.01,32.92,0.86
2015,6,19,0.02,43.8,29.79,30.05,1.08
2015,6,20,0.04,42.55,30.57,29.62,2.94
2015,6,21,3.4,41.24,30.18,37.92,2.39
2015,6,22,1.68,40.37,29.34,39.55,1.57
2015,6,23,3.19,42.26,29.71,36.94,1.23
2015,6,24,57.03,34.82,25.85,66.78,1.96
2015,6,25,0.07,37.22,25.21,54.81,1.44
2015,6,26,2.54,37.86,25.84,50.88,2.98
2015,6,27,0.04,38.69,26.13,56.46,3.61
2015,6,28,0.0,41.14,26.72,47.85,2.95
2015,6,29,0.24,40.72,28.21,42.03,2.09
2015,6,30,2.75,38.23,27.69,49.3,1.53
2015,7,1,0.46,38.43,27.62,51.52,1.69
2015,7,2,0.41,38.32,27.73,50.33,1.64
2015,7,3,2.24,39.68,28.84,50.88,2.93
2015,7,4,0.28,40.05,29.22,47.4,3.79
2015,7,5,1.37,41.41,29.48,45.46,3.62
2015,7,6,34.4,36.05,28.9,59.47,2.97
2015,7,7,6.17,33.93,27.44,65.71,1.27
2015,7,8,1.66,36.45,27.72,57.23,0.84
2015,7,9,7.12,35.79,28.21,58.47,1.49
2015,7,10,11.14,36.7,27.55,62.16,2.0
2015,7,11,6.7,34.31,25.96,70.72,2.37
2015,7,12,21.27,31.74,26.06,78.77,2.51
2015,7,13,0.95,34.23,25.78,69.49,1.36
2015,7,14,0.01,37.04,26.51,59.23,2.75
2015,7,15,0.02,39.27,28.01,49.41,4.52
2015,7,16,1.12,39.03,27.66,52.58,3.3
2015,7,17,1.71,38.03,27.22,54.1,1.64
2015,7,18,2.13,38.04,27.65,59.48,1.68
2015,7,19,2.21,37.98,27.38,59.0,1.28
2015,7,20,15.93,35.18,28.07,63.32,0.96
2015,7,21,11.49,35.85,27.08,63.57,1.17
2015,7,22,1.28,34.58,27.57,65.39,1.36
2015,7,23,2.5,35.71,27.24,68.52,1.98
2015,7,24,0.02,35.02,27.09,65.91,1.95
2015,7,25,1.16,35.79,26.95,63.67,1.92
2015,7,26,0.77,36.55,26.34,65.94,4.02
2015,7,27,0.49,35.88,25.6,67.76,3.92
2015,7,28,0.2,35.59,25.22,64.33,4.5
2015,7,29,0.5,35.1,24.15,66.86,4.03
2015,7,30,1.0,36.3,25.67,64.98,2.92
2015,7,31,4.75,33.95,25.99,71.0,3.49
2015,8,1,1.98,34.37,25.89,71.71,2.95
2015,8,2,2.94,31.42,25.73,74.99,1.79
2015,8,3,0.68,35.12,25.56,65.55,1.53
2015,8,4,0.55,37.77,26.4,57.68,1.84
2015,8,5,1.83,38.45,27.37,53.85,1.68
2015,8,6,17.66,38.65,28.03,59.33,1.74
2015,8,7,0.59,38.07,27.1,59.29,2.32
2015,8,8,5.09,37.7,27.42,58.12,2.4
2015,8,9,4.5,37.3,27.76,55.86,2.37
2015,8,10,0.69,38.84,26.91,49.27,1.08
2015,8,11,0.5,38.32,28.4,53.52,1.54
2015,8,12,49.91,33.29,26.85,70.57,1.21
2015,8,13,15.7,34.27,27.06,67.75,0.58
2015,8,14,0.96,34.98,28.18,66.14,0.82
2015,8,15,4.35,33.95,28.12,70.79,1.6
