-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.31   longitude 76.31 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 227.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.32,7.31,37.25,1.22
2015,1,2,4.89,23.69,10.86,53.13,1.39
2015,1,3,1.62,19.67,9.58,72.24,0.6
2015,1,4,0.0,20.99,6.7,58.37,1.84
2015,1,5,0.0,21.36,5.52,45.94,2.83
2015,1,6,0.0,21.76,7.17,51.77,2.04
2015,1,7,0.0,21.42,6.02,52.88,1.74
2015,1,8,0.0,21.88,4.66,42.9,1.65
2015,1,9,0.0,20.66,5.92,36.18,1.36
2015,1,10,0.0,20.89,3.53,36.97,1.9
2015,1,11,0.0,23.49,3.84,31.83,2.03
2015,1,12,0.0,24.7,5.71,29.46,1.29
2015,1,13,0.0,22.98,4.28,39.28,2.36
2015,1,14,4.29,18.66,6.71,56.94,2.08
2015,1,15,0.0,19.32,5.67,73.37,1.2
2015,1,16,0.0,21.68,5.36,65.98,1.46
2015,1,17,0.0,22.73,6.75,53.11,1.9
2015,1,18,0.0,22.87,5.65,45.87,1.85
2015,1,19,0.0,22.52,7.49,39.59,1.21
2015,1,20,0.0,21.07,5.74,41.13,1.29
2015,1,21,0.5,18.29,7.0,45.29,2.31
2015,1,22,6.98,16.68,9.24,79.3,1.77
2015,1,23,0.42,20.36,7.22,72.95,1.02
2015,1,24,0.0,20.93,5.87,58.97,1.54
2015,1,25,0.0,20.06,6.53,48.84,1.43
2015,1,26,0.78,19.54,7.36,51.76,0.69
2015,1,27,0.17,18.61,5.93,52.84,1.65
2015,1,28,0.0,18.64,4.0,52.33,1.89
2015,1,29,0.0,19.17,3.04,42.2,1.92
2015,1,30,0.0,20.84,3.49,40.21,2.38
2015,1,31,0.0,23.33,4.56,37.55,1.93
2015,2,1,0.0,22.89,6.36,38.67,1.57
2015,2,2,4.0,24.07,8.04,44.42,1.88
2015,2,3,4.38,22.6,8.9,66.78,2.01
2015,2,4,0.13,22.73,7.14,67.52,2.0
2015,2,5,0.0,23.7,4.74,51.14,1.82
2015,2,6,0.0,22.8,8.09,44.47,1.11
2015,2,7,0.0,23.33,8.54,44.65,1.07
2015,2,8,0.0,24.88,10.46,47.47,1.82
2015,2,9,0.01,25.0,7.9,52.22,1.66
2015,2,10,0.0,24.5,7.62,42.07,1.65
2015,2,11,0.0,24.41,8.41,38.32,1.46
2015,2,12,0.0,25.49,6.79,35.03,1.78
2015,2,13,0.0,26.67,6.81,32.22,1.92
2015,2,14,0.0,30.15,13.09,34.58,1.1
2015,2,15,0.0,29.58,13.53,32.59,1.18
2015,2,16,0.14,28.4,12.02,34.5,2.42
2015,2,17,0.04,27.89,11.43,45.13,0.99
2015,2,18,0.0,28.41,14.01,40.21,1.24
2015,2,19,0.0,29.28,12.78,39.25,1.83
2015,2,20,2.22,30.47,13.62,45.67,1.54
2015,2,21,0.12,30.45,12.46,43.51,2.17
2015,2,22,0.0,31.36,13.01,46.14,2.68
2015,2,23,0.0,27.43,14.92,40.64,0.78
2015,2,24,0.0,29.36,15.66,37.15,1.8
2015,2,25,2.58,27.51,10.58,39.65,2.7
2015,2,26,0.0,24.73,6.93,24.22,1.42
2015,2,27,0.12,25.29,8.72,26.23,1.28
2015,2,28,0.05,24.61,9.29,34.62,1.59
2015,3,1,31.3,19.29,12.53,82.47,4.32
2015,3,2,23.43,19.99,12.59,80.57,2.67
2015,3,3,1.22,22.81,9.99,62.87,1.21
2015,3,4,0.01,23.72,8.33,54.3,1.61
2015,3,5,0.02,26.13,10.77,45.95,1.08
2015,3,6,0.64,26.57,9.78,63.46,1.4
2015,3,7,6.71,26.95,11.26,63.83,1.46
2015,3,8,2.29,25.12,12.19,64.29,2.03
2015,3,9,0.19,23.14,6.14,52.65,2.01
2015,3,10,0.0,25.95,7.36,50.48,1.91
2015,3,11,0.0,27.99,9.9,42.22,1.35
2015,3,12,0.0,29.28,12.77,42.76,1.54
2015,3,13,0.01,30.15,13.87,42.02,1.03
2015,3,14,0.83,26.69,15.49,60.08,1.59
2015,3,15,9.56,25.21,14.28,71.97,3.52
2015,3,16,7.79,24.36,14.09,72.89,2.11
2015,3,17,0.0,26.24,12.45,60.18,2.12
