-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.8   longitude 76.4 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 239.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.36,7.0,39.89,1.39
2015,1,2,3.9,24.49,10.74,51.5,1.19
2015,1,3,2.93,19.87,8.87,70.56,0.81
2015,1,4,0.0,20.53,6.42,53.35,2.04
2015,1,5,0.0,20.97,5.4,43.89,3.02
2015,1,6,0.0,21.74,6.63,48.02,2.2
2015,1,7,0.0,21.59,5.59,50.31,1.86
2015,1,8,0.0,22.07,4.43,43.18,1.73
2015,1,9,0.0,20.6,5.26,38.18,1.5
2015,1,10,0.0,21.22,3.34,38.36,2.1
2015,1,11,0.0,23.12,3.55,33.4,2.19
2015,1,12,0.0,24.07,5.46,30.31,1.39
2015,1,13,0.0,22.38,4.3,38.5,2.09
2015,1,14,6.09,17.23,7.37,62.7,1.99
2015,1,15,0.0,19.53,5.2,72.78,1.35
2015,1,16,0.0,21.8,5.49,64.4,1.65
2015,1,17,0.0,22.41,5.84,49.05,1.94
2015,1,18,0.0,22.68,4.97,44.55,1.96
2015,1,19,0.0,22.34,7.65,40.93,1.28
2015,1,20,0.0,21.19,6.62,42.12,1.14
2015,1,21,0.74,18.1,6.71,49.9,2.03
2015,1,22,7.21,15.49,9.43,82.94,1.9
2015,1,23,0.06,20.42,7.26,70.91,1.05
2015,1,24,0.0,21.04,5.62,60.04,1.7
2015,1,25,0.0,20.06,6.02,49.64,1.48
2015,1,26,0.75,19.54,7.03,52.09,0.96
2015,1,27,0.16,18.44,5.68,52.67,1.76
2015,1,28,0.0,18.9,4.53,50.55,2.0
2015,1,29,0.0,19.03,4.4,41.11,1.92
