-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.96   longitude 76.87 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 260.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.8,7.69,41.78,1.21
2015,1,2,3.33,23.67,11.07,53.77,1.18
2015,1,3,7.6,18.13,10.48,72.07,0.69
2015,1,4,0.02,20.64,7.24,57.35,2.61
2015,1,5,0.0,21.58,6.84,40.5,4.09
2015,1,6,0.0,22.74,8.32,44.13,2.83
2015,1,7,0.0,21.65,6.48,47.65,2.25
2015,1,8,0.0,22.54,5.29,44.93,2.05
2015,1,9,0.0,21.33,4.6,41.15,1.8
2015,1,10,0.0,22.22,4.4,37.44,2.74
2015,1,11,0.0,23.35,4.35,34.14,2.59
2015,1,12,0.0,23.94,5.19,33.59,1.89
2015,1,13,0.0,21.99,6.26,37.41,1.62
2015,1,14,5.17,15.09,7.75,66.01,1.64
2015,1,15,0.0,20.4,5.62,68.93,1.44
2015,1,16,0.0,22.33,6.17,63.01,1.73
2015,1,17,0.0,22.25,6.18,48.35,2.18
2015,1,18,0.0,22.63,5.09,44.1,2.27
2015,1,19,0.0,22.31,7.1,42.47,1.48
2015,1,20,0.0,21.19,7.12,43.68,1.1
2015,1,21,1.05,18.96,6.38,51.04,1.59
2015,1,22,5.22,16.2,10.01,79.89,2.2
2015,1,23,0.39,20.54,8.37,71.04,1.13
2015,1,24,0.0,21.73,6.38,60.81,2.03
2015,1,25,0.0,20.74,6.72,49.29,1.68
2015,1,26,2.18,19.94,7.01,53.73,0.95
2015,1,27,0.23,18.98,7.01,56.59,1.82
2015,1,28,0.0,19.33,5.83,51.27,2.27
2015,1,29,0.0,18.84,5.24,41.8,2.18
2015,1,30,0.0,20.86,4.46,43.14,3.15
2015,1,31,0.0,23.06,5.14,39.03,2.62
2015,2,1,0.0,23.06,6.42,38.98,1.19
2015,2,2,1.84,23.36,9.21,44.49,1.68
2015,2,3,8.79,22.85,10.31,63.52,2.87
2015,2,4,0.06,23.67,8.5,59.63,2.16
2015,2,5,0.0,24.26,6.58,48.79,2.26
2015,2,6,0.0,23.37,7.65,43.87,1.42
2015,2,7,0.0,24.0,10.38,38.65,1.2
2015,2,8,0.0,25.14,11.73,42.56,2.33
2015,2,9,0.0,25.29,9.22,49.27,2.28
2015,2,10,0.0,25.04,8.27,41.66,2.22
2015,2,11,0.0,22.83,8.78,40.68,1.75
2015,2,12,0.0,25.26,7.27,38.5,2.34
2015,2,13,0.0,25.82,7.08,37.83,2.36
2015,2,14,0.0,29.5,13.58,38.06,1.48
2015,2,15,0.0,28.71,12.7,41.18,1.52
2015,2,16,0.19,27.2,11.81,43.63,2.1
2015,2,17,0.05,27.99,13.82,46.15,1.15
2015,2,18,0.0,27.83,14.37,44.56,1.31
2015,2,19,0.05,29.33,14.09,41.88,1.53
2015,2,20,6.03,28.53,14.65,49.54,1.6
2015,2,21,0.0,30.03,13.23,47.32,3.04
2015,2,22,0.0,30.86,13.94,47.77,3.6
2015,2,23,0.0,29.06,14.57,47.74,1.37
2015,2,24,0.0,27.69,17.2,44.1,1.19
2015,2,25,4.21,24.75,11.28,52.61,2.0
2015,2,26,0.18,24.81,7.71,32.23,1.47
2015,2,27,0.45,25.01,8.22,32.24,1.39
2015,2,28,0.37,25.02,10.58,36.29,1.21
2015,3,1,44.74,18.15,12.55,81.93,4.49
2015,3,2,38.53,17.97,12.11,87.9,3.14
2015,3,3,4.48,21.93,9.46,71.14,1.41
2015,3,4,0.03,22.76,8.26,65.28,2.34
2015,3,5,0.09,25.19,9.77,62.12,1.69
2015,3,6,0.73,25.81,11.86,59.32,2.0
2015,3,7,2.4,26.64,11.27,60.68,1.34
2015,3,8,3.27,24.79,12.83,65.68,2.12
2015,3,9,3.12,22.64,7.51,58.25,2.22
2015,3,10,0.0,26.65,9.27,54.41,2.47
2015,3,11,0.0,28.11,10.35,47.77,1.74
2015,3,12,0.0,28.45,12.72,46.5,1.83
2015,3,13,0.0,29.54,14.7,40.12,1.11
2015,3,14,1.76,27.27,14.97,56.34,1.16
2015,3,15,5.04,24.72,14.81,68.77,2.93
2015,3,16,6.94,23.42,13.66,77.17,2.37
2015,3,17,0.05,26.1,12.63,65.58,2.28
2015,3,18,0.0,27.38,12.12,60.61,2.97
2015,3,19,0.0,29.18,11.39,53.23,2.2
2015,3,20,0.0,31.08,13.0,47.45,2.18
2015,3,21,0.0,31.75,15.28,49.03,2.17
2015,3,22,0.0,33.17,16.75,50.25,2.9
2015,3,23,0.0,33.84,16.04,50.97,2.66
2015,3,24,0.0,35.25,16.91,43.72,1.54
2015,3,25,0.0,35.55,20.39,41.15,1.7
2015,3,26,0.0,35.6,18.8,40.69,1.82
2015,3,27,0.0,36.02,19.35,39.32,2.55
2015,3,28,0.0,36.34,17.58,34.16,1.93
2015,3,29,5.39,28.82,17.73,52.76,3.03
2015,3,30,5.37,25.49,17.26,70.7,3.22
2015,3,31,0.0,30.63,16.98,53.9,1.27
2015,4,1,1.55,31.61,19.52,52.27,1.15
2015,4,2,0.34,32.84,18.02,51.17,1.34
2015,4,3,17.34,28.4,19.62,58.29,1.46
2015,4,4,4.38,26.95,17.35,65.73,1.08
2015,4,5,0.06,31.24,14.69,59.14,1.48
2015,4,6,0.05,32.1,16.77,49.09,1.76
2015,4,7,1.05,30.31,18.37,47.08,1.54
2015,4,8,1.82,31.29,18.0,48.47,1.65
2015,4,9,0.1,32.88,16.26,49.32,2.57
2015,4,10,0.0,34.95,16.94,46.6,2.42
2015,4,11,0.02,35.97,20.33,39.68,1.23
2015,4,12,0.56,33.4,21.45,46.01,1.1
2015,4,13,0.18,32.15,19.62,49.5,1.31
