-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.9   longitude 75.85 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 240.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.81,7.71,40.88,1.54
2015,1,2,0.18,23.19,8.44,41.27,0.91
2015,1,3,3.18,19.8,7.08,63.39,0.82
2015,1,4,0.06,19.78,6.73,51.16,1.54
2015,1,5,0.0,20.36,4.05,44.84,1.99
2015,1,6,0.0,21.5,5.4,47.31,1.66
2015,1,7,0.0,21.43,5.05,48.88,1.52
2015,1,8,0.0,22.19,5.26,42.11,1.33
2015,1,9,0.0,20.82,6.62,38.11,1.09
2015,1,10,0.0,21.11,3.0,39.04,1.7
2015,1,11,0.0,22.63,3.91,34.05,1.78
2015,1,12,0.0,23.19,7.36,30.42,1.06
2015,1,13,0.28,21.42,5.12,41.03,1.38
2015,1,14,8.6,16.72,8.42,71.69,1.76
2015,1,15,0.0,19.69,6.46,73.92,1.15
2015,1,16,0.0,21.66,5.31,61.28,1.51
2015,1,17,0.0,21.89,5.3,48.69,1.61
2015,1,18,0.0,22.04,5.76,42.66,1.72
2015,1,19,0.0,21.98,8.34,39.19,1.16
2015,1,20,0.0,21.13,6.77,43.62,1.08
2015,1,21,8.14,17.07,6.53,62.88,1.92
2015,1,22,6.44,13.74,8.84,90.06,1.44
2015,1,23,0.1,19.44,7.67,74.69,0.9
2015,1,24,0.0,20.6,5.28,64.14,1.47
2015,1,25,0.0,19.56,6.47,53.45,1.29
2015,1,26,0.1,18.86,7.33,47.53,0.79
2015,1,27,0.06,17.72,6.31,51.64,1.33
2015,1,28,0.0,18.84,4.37,51.07,1.73
2015,1,29,0.0,18.84,5.53,44.54,1.48
2015,1,30,0.0,20.84,3.32,45.8,2.04
2015,1,31,0.0,22.37,4.51,42.35,1.66
2015,2,1,0.0,22.5,6.22,40.01,1.22
2015,2,2,3.61,22.12,8.71,46.94,1.13
2015,2,3,13.32,20.51,10.21,79.27,1.44
2015,2,4,0.14,22.42,6.67,67.43,1.77
2015,2,5,0.0,23.04,5.07,52.28,1.66
2015,2,6,0.0,21.76,8.87,43.23,0.98
2015,2,7,0.0,23.25,9.07,45.75,1.23
2015,2,8,0.0,23.67,10.02,54.47,2.52
2015,2,9,0.0,24.43,7.08,54.46,1.64
2015,2,10,0.0,24.5,8.29,43.26,1.44
2015,2,11,0.0,25.09,10.64,41.55,1.47
2015,2,12,0.0,25.05,8.57,37.71,1.59
2015,2,13,0.0,25.31,7.3,39.56,1.52
2015,2,14,0.0,28.93,12.7,40.72,1.42
2015,2,15,0.0,27.3,13.12,44.07,1.17
2015,2,16,1.11,27.83,11.65,45.7,2.39
2015,2,17,6.55,27.2,13.55,53.3,1.03
2015,2,18,0.1,26.7,13.89,49.8,1.26
2015,2,19,2.86,24.75,14.22,57.45,1.23
2015,2,20,10.66,25.96,13.47,65.84,1.18
2015,2,21,0.0,28.55,12.67,55.26,2.16
2015,2,22,0.0,29.86,11.01,58.8,2.1
2015,2,23,0.0,27.13,14.18,51.25,0.81
