-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  28.28   longitude 76.15 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 243.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.87,8.65,39.56,0.96
2015,1,2,6.63,20.11,10.36,62.41,1.24
2015,1,3,0.28,20.04,9.65,76.56,0.6
2015,1,4,0.0,21.22,7.96,63.28,1.49
2015,1,5,0.0,21.88,5.98,47.28,2.53
2015,1,6,0.0,21.91,6.21,55.23,1.9
2015,1,7,0.0,21.56,7.73,52.49,1.45
2015,1,8,0.0,22.27,5.38,41.52,1.36
2015,1,9,0.0,21.96,5.63,32.0,1.25
2015,1,10,0.0,21.86,5.17,33.06,1.52
2015,1,11,0.0,23.69,5.08,31.48,1.67
2015,1,12,0.0,25.78,6.22,30.52,1.52
2015,1,13,0.0,24.65,6.37,36.51,2.5
2015,1,14,1.98,20.8,7.04,49.59,1.61
2015,1,15,0.0,19.58,5.61,61.35,0.99
2015,1,16,0.0,21.06,5.73,57.8,1.12
2015,1,17,0.0,23.01,7.14,51.93,1.5
2015,1,18,0.0,22.91,7.52,44.44,1.42
2015,1,19,0.0,23.32,6.9,35.19,1.11
2015,1,20,0.0,21.94,6.07,34.91,2.04
2015,1,21,0.39,20.99,7.69,40.21,2.79
2015,1,22,7.39,18.83,8.99,73.66,1.54
2015,1,23,2.15,17.76,9.82,80.54,1.16
2015,1,24,0.0,20.75,6.76,65.81,1.2
2015,1,25,0.0,20.81,7.59,46.18,1.14
2015,1,26,1.13,18.96,6.03,60.54,1.05
2015,1,27,0.12,18.94,5.95,66.29,1.42
2015,1,28,0.0,18.31,2.96,52.71,1.66
2015,1,29,0.0,19.57,3.74,40.62,1.81
2015,1,30,0.0,20.61,3.78,36.45,2.0
2015,1,31,0.0,23.67,5.46,32.3,1.77
2015,2,1,0.0,22.64,6.71,39.55,2.19
2015,2,2,0.72,24.55,8.74,44.36,2.54
2015,2,3,1.74,23.74,8.71,62.23,1.94
2015,2,4,0.02,22.74,6.77,63.83,1.82
2015,2,5,0.0,23.31,5.54,46.72,1.52
2015,2,6,0.0,24.41,7.64,37.73,1.16
2015,2,7,0.0,25.08,8.16,41.88,1.47
2015,2,8,0.08,25.42,11.1,44.25,1.19
2015,2,9,0.13,25.39,9.04,48.01,1.22
2015,2,10,0.0,25.15,9.47,38.82,1.43
2015,2,11,0.0,24.79,9.06,34.37,1.45
2015,2,12,0.0,25.5,8.47,28.43,1.42
2015,2,13,0.0,28.15,8.42,25.42,2.1
2015,2,14,0.0,30.93,11.82,30.94,1.51
2015,2,15,0.0,30.52,13.63,27.05,1.15
2015,2,16,0.0,29.83,13.43,28.79,2.56
2015,2,17,0.0,28.97,11.47,39.23,1.22
2015,2,18,0.0,29.5,14.46,33.46,0.93
2015,2,19,0.21,30.64,13.41,35.78,2.01
2015,2,20,0.76,32.39,13.53,37.1,1.13
2015,2,21,0.08,31.02,15.22,35.02,1.75
2015,2,22,0.0,31.75,13.62,42.47,2.36
2015,2,23,0.0,29.46,16.37,36.75,0.9
2015,2,24,0.0,30.35,16.19,32.96,2.03
2015,2,25,0.66,30.51,12.49,30.5,2.85
2015,2,26,0.0,25.54,8.09,16.13,1.55
2015,2,27,0.02,26.84,10.15,15.7,1.07
2015,2,28,0.27,26.56,9.51,28.05,1.64
2015,3,1,33.55,22.11,12.87,78.57,4.64
2015,3,2,11.51,19.95,13.25,79.04,1.23
2015,3,3,0.19,23.13,10.51,60.11,1.05
2015,3,4,0.0,24.06,11.35,42.4,1.24
2015,3,5,0.0,26.85,10.07,37.23,1.17
2015,3,6,0.18,27.56,10.53,50.5,0.94
2015,3,7,7.58,27.36,12.83,56.46,1.48
2015,3,8,0.6,26.22,12.78,56.09,1.82
2015,3,9,0.06,23.86,6.65,41.02,2.16
2015,3,10,0.0,25.52,7.01,45.35,1.72
2015,3,11,0.0,28.9,11.39,33.16,1.34
2015,3,12,0.0,30.43,14.53,38.17,1.12
2015,3,13,0.33,30.68,15.87,53.36,0.96
2015,3,14,0.55,27.76,16.48,60.69,1.89
2015,3,15,14.02,23.22,15.15,79.45,3.88
2015,3,16,3.62,25.47,13.93,70.91,1.81
2015,3,17,0.0,26.29,13.27,60.02,2.01
2015,3,18,0.0,27.42,11.45,55.51,2.55
2015,3,19,0.0,29.62,13.18,41.85,1.46
2015,3,20,0.0,31.95,15.76,32.8,1.15
2015,3,21,0.0,32.86,19.01,33.17,0.88
2015,3,22,0.0,33.37,16.92,46.73,1.85
2015,3,23,0.0,34.21,16.38,44.23,1.96
2015,3,24,0.0,36.31,20.08,32.16,1.27
2015,3,25,0.0,36.01,18.76,33.23,1.16
2015,3,26,0.0,36.33,21.24,35.76,0.93
2015,3,27,0.0,36.68,20.85,35.82,0.95
2015,3,28,0.0,37.03,21.29,30.0,1.12
2015,3,29,4.77,29.97,19.29,46.33,2.74
2015,3,30,2.91,30.13,17.75,61.92,3.82
2015,3,31,0.0,31.1,16.65,57.86,1.53
2015,4,1,0.0,34.04,19.04,48.41,1.8
2015,4,2,0.03,36.45,17.98,44.33,1.66
2015,4,3,16.68,28.67,19.02,62.67,2.46
2015,4,4,16.75,24.11,16.99,76.07,0.96
2015,4,5,0.0,30.6,15.64,53.58,0.75
2015,4,6,0.01,31.69,17.97,39.99,1.28
2015,4,7,1.19,31.26,18.99,44.0,1.14
2015,4,8,0.17,32.26,18.5,46.64,1.23
2015,4,9,0.0,33.33,16.01,44.05,1.8
2015,4,10,0.0,34.76,16.67,38.84,1.54
2015,4,11,0.05,36.55,19.87,33.27,1.29
2015,4,12,1.93,32.95,19.83,49.08,1.65
2015,4,13,2.01,32.06,21.03,54.07,2.1
2015,4,14,0.06,32.31,18.82,58.16,1.79
2015,4,15,2.31,33.62,20.43,51.15,1.62
2015,4,16,0.97,34.35,20.31,51.58,1.48
2015,4,17,3.07,35.09,20.39,47.77,2.08
2015,4,18,0.0,39.03,21.96,39.56,1.83
2015,4,19,0.0,40.79,23.99,34.86,1.33
2015,4,20,0.0,40.25,22.84,32.11,2.39
2015,4,21,0.0,38.2,20.63,35.33,2.54
2015,4,22,0.0,39.07,20.01,27.27,2.28
2015,4,23,0.0,39.96,24.65,21.18,1.19
2015,4,24,0.0,40.83,21.43,20.73,1.53
2015,4,25,0.0,41.25,23.35,19.35,1.82
2015,4,26,0.0,38.43,22.16,33.29,3.15
2015,4,27,0.0,40.3,22.91,32.6,3.05
2015,4,28,0.18,40.01,24.38,32.09,1.76
2015,4,29,0.35,39.51,25.55,24.52,0.94
2015,4,30,0.0,41.61,24.12,24.97,2.24
2015,5,1,0.34,38.62,22.04,30.31,1.68
2015,5,2,0.08,38.88,25.27,23.22,1.46
2015,5,3,0.0,40.73,25.61,16.12,1.23
2015,5,4,0.0,41.45,24.72,14.07,1.37
2015,5,5,0.0,42.69,24.56,14.09,2.37
2015,5,6,0.0,43.4,23.96,13.31,4.28
2015,5,7,0.0,44.07,25.81,15.13,4.27
2015,5,8,0.0,43.55,26.47,18.37,3.6
2015,5,9,0.0,43.2,26.85,23.62,2.8
2015,5,10,0.0,42.99,28.6,23.77,2.8
2015,5,11,0.1,42.86,27.41,25.15,1.97
2015,5,12,0.1,39.83,29.28,26.74,1.49
2015,5,13,0.26,40.42,26.13,25.97,1.83
2015,5,14,2.59,38.05,25.46,29.93,1.42
2015,5,15,0.18,39.4,26.01,28.88,2.19
2015,5,16,0.51,40.64,27.01,23.65,1.56
2015,5,17,0.0,42.27,25.74,21.5,2.11
2015,5,18,0.0,44.08,28.09,19.06,1.5
2015,5,19,0.0,44.98,31.06,17.73,2.24
2015,5,20,0.72,43.08,28.01,18.92,3.56
2015,5,21,0.0,44.05,26.99,19.06,3.49
2015,5,22,0.01,44.59,29.55,17.76,3.7
2015,5,23,0.0,45.06,28.38,16.38,4.58
2015,5,24,0.03,45.55,27.8,15.94,3.2
2015,5,25,0.0,45.48,26.95,12.27,4.26
2015,5,26,0.0,45.29,27.59,11.9,5.06
2015,5,27,0.0,43.3,22.52,7.34,2.88
2015,5,28,0.05,42.82,26.08,13.32,2.94
2015,5,29,0.23,43.48,27.02,23.35,3.2
2015,5,30,0.0,43.04,27.7,23.38,2.87
2015,5,31,0.01,43.63,29.16,21.4,2.9
2015,6,1,1.46,42.64,28.42,20.59,1.67
2015,6,2,0.09,40.88,26.78,29.88,2.3
2015,6,3,0.54,39.62,27.68,28.37,1.34
2015,6,4,0.02,39.46,27.78,25.37,1.89
2015,6,5,0.33,40.73,26.86,26.63,2.61
2015,6,6,0.0,41.19,27.79,25.02,2.97
2015,6,7,0.0,43.21,28.37,22.18,2.55
2015,6,8,0.0,45.24,30.35,17.26,2.6
2015,6,9,0.0,44.33,30.8,21.1,4.99
2015,6,10,0.04,40.25,31.11,31.73,5.43
2015,6,11,0.33,42.11,29.9,31.49,4.33
2015,6,12,0.0,42.41,29.81,35.52,3.85
2015,6,13,14.71,40.16,29.8,40.72,2.56
2015,6,14,8.55,35.97,27.42,51.55,2.08
2015,6,15,0.2,37.61,27.0,51.42,1.71
2015,6,16,0.45,38.75,27.79,46.81,0.9
2015,6,17,0.12,40.87,29.19,34.91,1.24
2015,6,18,0.02,42.01,29.7,28.98,0.75
2015,6,19,0.08,44.03,29.74,26.08,1.62
2015,6,20,0.09,42.83,31.35,29.98,2.95
2015,6,21,5.01,40.75,30.91,38.32,2.34
2015,6,22,1.91,39.71,29.62,41.49,1.13
2015,6,23,2.99,42.07,29.77,37.36,0.98
2015,6,24,29.33,34.43,25.55,61.1,1.3
2015,6,25,6.53,36.78,24.54,56.47,1.99
2015,6,26,1.04,38.3,25.34,49.08,3.24
2015,6,27,0.04,39.02,26.02,54.41,3.82
2015,6,28,0.0,41.18,26.72,46.73,2.95
2015,6,29,0.58,40.11,28.74,43.64,1.71
2015,6,30,3.91,37.65,27.57,51.4,1.59
2015,7,1,0.28,38.61,27.72,49.87,1.48
2015,7,2,0.58,38.74,27.76,48.62,2.05
2015,7,3,0.33,40.79,29.01,46.84,3.34
2015,7,4,0.39,40.33,29.86,43.66,4.28
2015,7,5,3.07,41.59,30.06,43.73,3.81
2015,7,6,19.91,36.72,29.44,56.78,2.57
2015,7,7,12.52,33.87,27.98,63.47,1.0
2015,7,8,2.94,36.23,27.9,57.19,0.77
2015,7,9,4.87,36.48,28.15,56.86,1.49
2015,7,10,38.48,35.22,26.68,69.47,1.92
2015,7,11,23.9,32.97,25.4,76.6,2.69
2015,7,12,24.92,30.51,25.74,86.17,2.89
2015,7,13,1.46,33.17,25.51,75.03,1.9
2015,7,14,0.2,36.14,25.87,63.79,2.93
2015,7,15,0.04,37.92,27.56,54.38,4.62
2015,7,16,0.46,38.61,27.52,55.37,3.37
2015,7,17,1.12,37.0,27.13,59.78,1.48
2015,7,18,5.47,36.59,27.1,63.37,1.18
2015,7,19,3.19,36.13,27.02,63.45,0.95
2015,7,20,11.53,34.28,27.35,64.66,0.57
2015,7,21,3.53,36.14,26.63,65.27,1.35
2015,7,22,0.7,34.77,27.24,68.13,1.64
2015,7,23,0.89,34.76,26.99,71.0,1.95
2015,7,24,0.01,35.37,26.77,66.77,1.86
2015,7,25,3.32,35.95,26.34,64.8,2.18
2015,7,26,2.5,35.55,26.31,69.06,4.08
2015,7,27,0.93,35.32,25.54,70.72,3.8
2015,7,28,0.21,34.78,24.92,67.46,4.38
2015,7,29,0.9,34.58,23.77,69.21,3.93
2015,7,30,0.65,35.61,24.97,68.57,3.05
2015,7,31,2.54,34.6,25.41,69.2,3.39
2015,8,1,0.74,33.39,25.57,72.17,2.53
2015,8,2,0.58,31.98,25.53,74.14,1.36
2015,8,3,0.14,35.29,25.32,64.85,1.19
2015,8,4,0.3,37.81,26.01,57.83,1.61
2015,8,5,6.58,37.46,27.37,57.62,1.24
2015,8,6,9.7,37.44,27.61,61.05,1.59
2015,8,7,1.37,37.54,26.98,60.32,2.26
2015,8,8,18.58,34.81,26.7,68.27,2.09
2015,8,9,21.14,34.12,26.98,67.83,2.12
2015,8,10,1.12,36.73,25.79,58.1,1.18
2015,8,11,2.98,35.77,27.46,62.08,1.51
2015,8,12,26.13,33.18,25.88,73.93,0.94
2015,8,13,10.03,34.2,26.7,69.33,0.62
2015,8,14,0.75,34.67,27.36,69.16,0.68
2015,8,15,7.78,33.64,27.57,74.52,1.39
2015,8,16,3.62,32.6,26.3,77.05,1.59
2015,8,17,0.44,35.47,25.7,67.53,2.02
2015,8,18,0.17,37.42,26.64,61.54,2.6
2015,8,19,2.58,36.06,26.4,63.7,3.78
2015,8,20,0.37,35.55,25.88,62.77,3.56
2015,8,21,3.99,35.07,25.22,64.88,2.99
2015,8,22,0.22,35.56,24.58,61.84,3.14
2015,8,23,22.8,33.19,25.68,70.91,2.34
2015,8,24,2.47,34.3,24.73,68.35,2.86
2015,8,25,0.0,36.12,24.84,59.99,2.98
2015,8,26,0.0,36.84,24.75,58.65,2.54
2015,8,27,0.04,37.2,24.62,56.61,1.67
2015,8,28,0.58,37.48,25.17,56.15,2.05
2015,8,29,4.4,36.62,25.69,58.23,2.36
2015,8,30,0.09,37.18,25.64,55.3,2.41
2015,8,31,0.0,37.17,24.73,55.08,2.86
2015,9,1,0.0,36.73,24.17,49.78,3.26
2015,9,2,0.0,37.24,23.44,47.56,3.07
2015,9,3,0.09,37.11,23.37,49.19,2.64
2015,9,4,0.0,37.98,22.21,47.82,2.5
2015,9,5,0.0,37.48,22.15,44.13,2.72
2015,9,6,0.01,37.53,22.8,45.51,2.48
2015,9,7,0.0,37.62,23.11,48.44,2.38
2015,9,8,0.0,37.97,23.22,45.49,2.78
2015,9,9,0.0,38.78,22.58,42.58,2.7
2015,9,10,0.0,38.66,22.34,40.95,2.32
2015,9,11,0.0,38.68,22.12,42.39,2.0
2015,9,12,0.0,39.02,24.25,42.28,1.06
2015,9,13,0.0,37.84,23.49,39.64,1.08
2015,9,14,0.22,39.68,25.34,34.81,1.07
2015,9,15,0.0,39.59,24.1,36.48,1.06
2015,9,16,0.23,39.39,23.14,41.63,1.2
2015,9,17,0.0,38.26,24.72,44.04,1.28
2015,9,18,7.17,35.56,24.65,53.41,1.96
2015,9,19,4.47,34.99,23.5,67.29,2.32
2015,9,20,1.44,36.98,24.86,61.66,1.3
2015,9,21,0.62,36.04,25.83,58.25,1.63
2015,9,22,1.42,35.79,25.56,61.13,3.24
2015,9,23,0.07,35.04,22.03,58.38,2.6
2015,9,24,0.0,35.05,21.31,42.52,2.37
2015,9,25,0.0,35.67,20.29,40.29,2.27
2015,9,26,0.0,36.6,21.19,41.97,1.97
2015,9,27,1.95,35.62,22.17,47.32,1.57
2015,9,28,0.03,36.53,23.68,41.92,1.17
2015,9,29,0.0,36.55,22.68,37.5,1.64
2015,9,30,0.0,36.8,19.55,38.24,2.29
2015,10,1,0.0,37.18,20.25,32.37,1.17
2015,10,2,0.0,38.25,22.17,26.59,1.51
2015,10,3,0.0,38.04,21.6,26.56,1.68
2015,10,4,0.0,39.19,21.89,23.83,1.32
2015,10,5,0.0,39.54,22.63,26.52,1.64
2015,10,6,0.0,37.72,22.52,33.93,2.01
2015,10,7,0.0,37.86,23.03,33.2,1.88
2015,10,8,0.0,37.64,21.62,32.63,2.24
2015,10,9,0.0,38.97,21.41,27.67,2.4
2015,10,10,0.0,38.88,21.74,28.99,2.92
2015,10,11,0.0,38.38,21.92,31.98,2.88
2015,10,12,0.0,36.87,20.9,34.49,1.86
2015,10,13,0.09,36.62,22.6,37.06,1.25
2015,10,14,0.25,36.75,21.14,31.33,1.33
2015,10,15,0.43,35.68,20.98,35.66,1.07
2015,10,16,0.08,36.99,20.83,34.4,1.32
2015,10,17,0.0,35.91,22.94,32.57,1.24
2015,10,18,0.0,36.68,22.12,32.44,1.05
2015,10,19,0.0,36.54,22.35,30.67,1.07
2015,10,20,0.0,36.52,24.02,29.9,1.4
2015,10,21,0.11,33.87,19.73,34.37,1.79
2015,10,22,0.4,34.17,17.06,27.87,1.65
2015,10,23,0.0,34.04,17.58,22.27,1.64
2015,10,24,0.0,34.69,19.46,23.37,1.23
