-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.99   longitude 75.4 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 223.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.0,6.79,35.71,1.41
2015,1,2,1.83,24.78,9.34,46.89,1.19
2015,1,3,1.8,20.7,8.62,66.05,0.99
2015,1,4,0.0,20.82,7.63,46.76,1.49
2015,1,5,0.0,20.83,5.24,44.93,2.25
2015,1,6,0.0,21.57,6.48,48.05,1.78
2015,1,7,0.0,21.98,6.06,49.2,1.58
2015,1,8,0.0,22.18,5.33,39.4,1.43
2015,1,9,0.0,20.76,7.02,32.54,1.15
2015,1,10,0.0,21.26,3.94,33.24,1.71
2015,1,11,0.0,23.48,4.24,27.0,1.86
2015,1,12,0.0,24.91,7.62,24.27,1.13
2015,1,13,0.29,23.33,4.48,38.2,2.16
2015,1,14,5.7,18.8,6.99,60.82,1.74
2015,1,15,0.05,19.33,6.28,73.55,1.05
2015,1,16,0.0,21.68,5.48,63.63,1.47
2015,1,17,0.0,22.57,6.75,49.46,1.75
2015,1,18,0.0,22.7,6.37,43.24,1.71
2015,1,19,0.0,22.52,8.36,38.37,1.0
2015,1,20,0.0,21.3,6.04,40.93,1.32
2015,1,21,1.24,17.06,7.33,48.83,2.74
2015,1,22,7.06,15.73,9.3,80.79,1.9
2015,1,23,0.02,20.26,6.73,70.9,1.04
2015,1,24,0.0,20.17,5.78,60.28,1.44
2015,1,25,0.0,19.6,6.21,50.64,1.27
2015,1,26,0.07,19.28,7.83,46.21,0.64
2015,1,27,0.11,17.99,5.91,50.09,1.51
2015,1,28,0.0,18.62,4.27,50.64,1.83
2015,1,29,0.0,19.2,4.23,40.8,1.77
2015,1,30,0.0,20.89,3.48,40.22,2.16
2015,1,31,0.0,23.13,4.93,36.62,1.64
2015,2,1,0.0,23.01,6.91,37.81,1.68
2015,2,2,8.25,23.32,7.95,46.31,1.75
2015,2,3,2.88,22.15,9.45,71.95,1.45
2015,2,4,0.26,22.49,6.67,68.23,1.87
2015,2,5,0.0,23.56,5.17,51.43,1.68
2015,2,6,0.0,22.42,9.09,43.13,1.0
2015,2,7,0.0,23.07,8.86,44.36,1.03
2015,2,8,0.0,24.61,10.02,50.48,2.06
2015,2,9,0.0,24.72,7.56,53.3,1.52
2015,2,10,0.0,24.31,7.78,41.29,1.46
2015,2,11,0.0,24.85,9.16,38.84,1.51
2015,2,12,0.0,25.46,7.15,35.23,1.68
2015,2,13,0.0,26.53,7.83,33.06,1.56
2015,2,14,0.0,30.06,14.18,35.54,1.09
2015,2,15,0.0,29.52,13.7,32.74,1.1
2015,2,16,0.36,29.12,12.32,34.83,2.68
2015,2,17,1.04,27.57,11.36,49.69,1.02
2015,2,18,0.0,28.03,13.29,43.01,1.38
2015,2,19,0.09,29.25,13.24,43.11,1.71
2015,2,20,2.88,29.7,12.91,49.46,1.43
2015,2,21,0.25,29.84,12.02,52.47,2.21
2015,2,22,0.0,30.86,12.34,49.86,2.34
2015,2,23,0.0,27.67,15.25,42.81,0.73
2015,2,24,0.0,29.82,15.77,38.89,1.99
2015,2,25,4.37,26.82,9.56,40.91,3.42
2015,2,26,0.0,24.24,6.61,27.38,1.22
2015,2,27,0.03,24.47,7.73,31.13,1.18
2015,2,28,0.0,21.9,8.97,39.94,1.67
2015,3,1,36.69,18.48,11.67,81.42,3.56
2015,3,2,8.95,20.64,12.45,78.39,2.47
2015,3,3,1.41,22.58,9.22,60.54,1.25
2015,3,4,0.19,23.71,8.53,54.87,1.36
2015,3,5,0.91,26.03,10.51,53.31,1.13
2015,3,6,0.47,26.14,10.0,63.35,1.36
2015,3,7,5.1,26.45,10.27,63.74,1.48
