-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.82   longitude 75.17 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 213.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.19,6.56,38.85,1.6
2015,1,2,0.05,23.16,7.29,39.35,1.03
2015,1,3,1.09,20.75,8.37,51.26,0.83
2015,1,4,0.06,20.13,7.55,44.01,1.28
2015,1,5,0.0,20.18,4.79,44.63,1.89
2015,1,6,0.0,21.05,5.95,45.93,1.73
2015,1,7,0.0,21.7,5.27,47.17,1.48
2015,1,8,0.0,22.06,5.24,39.28,1.24
2015,1,9,0.0,20.48,8.01,33.53,1.0
2015,1,10,0.0,21.08,3.43,35.23,1.62
2015,1,11,0.0,22.87,4.4,29.81,1.74
2015,1,12,0.0,23.51,8.15,26.84,1.01
2015,1,13,1.95,21.89,5.11,42.41,1.58
2015,1,14,6.86,18.34,7.77,71.8,1.54
2015,1,15,0.0,19.74,6.72,75.2,1.04
2015,1,16,0.0,21.54,5.49,57.93,1.57
2015,1,17,0.0,22.27,5.83,46.44,1.68
2015,1,18,0.0,21.99,6.27,40.6,1.7
2015,1,19,0.0,22.01,8.0,36.9,1.07
2015,1,20,0.0,20.84,7.63,42.98,1.01
2015,1,21,11.28,16.36,7.07,63.5,2.38
2015,1,22,2.33,14.72,8.67,87.37,1.4
2015,1,23,0.12,19.3,7.6,74.55,0.87
