-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.47   longitude 74.52 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 190.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.35,6.4,33.47,1.53
2015,1,2,0.01,24.03,6.5,36.36,0.8
2015,1,3,0.36,21.73,8.49,45.17,1.01
2015,1,4,0.0,20.97,9.01,38.65,0.84
2015,1,5,0.0,20.47,6.46,42.36,1.6
2015,1,6,0.0,20.85,7.37,45.82,1.51
2015,1,7,0.0,22.33,7.46,46.49,1.28
2015,1,8,0.0,22.31,7.2,34.13,0.96
2015,1,9,0.0,20.76,8.19,27.75,0.79
2015,1,10,0.0,21.44,5.17,26.73,1.48
2015,1,11,0.0,23.6,6.35,20.21,1.49
2015,1,12,0.0,24.89,8.44,22.42,1.16
2015,1,13,4.35,23.22,5.39,39.99,1.89
2015,1,14,2.27,19.65,6.69,68.22,1.65
2015,1,15,0.04,19.68,6.53,70.93,0.9
2015,1,16,0.0,21.67,5.88,58.73,1.4
2015,1,17,0.0,22.78,7.68,44.78,1.55
2015,1,18,0.0,22.5,8.32,37.16,1.36
2015,1,19,0.0,22.83,7.37,36.87,1.0
2015,1,20,0.0,21.42,6.34,41.72,1.47
2015,1,21,5.96,16.44,8.72,54.61,3.23
2015,1,22,1.05,18.33,8.33,75.89,1.37
2015,1,23,0.08,19.66,7.19,73.02,0.82
2015,1,24,0.0,19.33,6.19,59.4,1.19
2015,1,25,0.0,19.49,6.09,50.4,1.14
2015,1,26,0.0,18.87,6.97,45.33,0.76
2015,1,27,0.0,17.93,6.11,50.22,1.18
2015,1,28,0.0,18.35,4.19,46.37,1.74
2015,1,29,0.0,19.51,5.38,36.08,1.42
2015,1,30,0.0,21.3,4.69,36.29,1.83
2015,1,31,0.0,23.16,7.22,31.59,1.16
2015,2,1,0.0,23.6,7.09,36.14,1.88
2015,2,2,4.76,22.24,7.43,47.75,1.68
2015,2,3,5.63,21.32,9.8,77.04,1.26
2015,2,4,0.03,22.59,6.86,68.67,1.79
2015,2,5,0.0,22.98,6.55,54.12,1.4
2015,2,6,0.0,22.09,8.93,46.19,0.83
2015,2,7,0.0,22.93,7.6,47.68,1.31
2015,2,8,0.0,23.99,8.84,58.06,1.64
2015,2,9,0.0,24.43,7.56,50.81,1.34
2015,2,10,0.0,24.33,8.7,39.03,1.26
2015,2,11,0.0,24.82,9.8,37.05,1.51
2015,2,12,0.0,26.03,8.4,32.66,1.4
2015,2,13,0.0,27.11,10.6,29.86,1.13
2015,2,14,0.0,30.28,12.59,35.24,1.32
2015,2,15,0.0,29.33,14.53,31.69,0.97
2015,2,16,0.55,30.97,12.5,34.03,2.74
2015,2,17,2.94,26.94,11.0,48.79,1.11
2015,2,18,0.04,27.86,12.69,45.06,1.33
2015,2,19,0.24,28.57,13.17,49.48,1.67
2015,2,20,4.09,25.67,12.1,67.68,1.78
2015,2,21,0.15,28.81,11.62,62.6,1.96
2015,2,22,0.0,30.0,11.93,53.53,1.91
2015,2,23,0.0,28.96,16.11,47.09,1.03
2015,2,24,1.97,28.47,16.34,45.9,1.69
2015,2,25,3.36,26.54,9.72,41.87,3.26
2015,2,26,0.0,24.11,8.07,28.04,0.88
2015,2,27,0.0,24.03,7.69,37.47,0.99
