-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  28.14   longitude 77.33 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 190.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.04,22.8,7.87,46.13,1.29
2015,1,2,3.48,20.05,11.01,66.91,1.15
2015,1,3,8.51,20.71,8.54,80.69,0.94
2015,1,4,0.0,21.89,8.08,65.34,1.83
2015,1,5,0.0,23.08,6.35,45.73,3.28
2015,1,6,0.0,22.6,6.41,53.05,1.94
2015,1,7,0.0,21.49,6.89,54.57,1.56
2015,1,8,0.0,21.55,5.38,45.36,1.64
2015,1,9,0.0,21.57,4.86,36.0,1.31
2015,1,10,0.0,22.62,3.76,38.59,1.7
2015,1,11,0.0,23.24,4.17,35.34,1.5
2015,1,12,0.0,23.12,5.19,36.96,1.37
2015,1,13,0.0,21.76,4.92,40.28,1.76
2015,1,14,1.65,19.11,6.83,52.32,1.61
2015,1,15,0.0,19.41,4.27,64.07,1.25
2015,1,16,0.0,20.86,5.19,58.1,1.26
2015,1,17,0.0,22.96,6.84,51.48,1.49
2015,1,18,0.0,22.54,6.19,47.33,1.52
2015,1,19,0.0,21.94,5.39,42.38,1.39
2015,1,20,0.0,20.95,5.79,40.63,1.26
2015,1,21,3.43,21.63,6.53,44.47,1.64
2015,1,22,8.19,18.12,8.96,75.85,1.71
2015,1,23,4.39,21.11,7.51,77.22,1.06
2015,1,24,0.0,21.55,7.24,66.52,1.33
2015,1,25,0.0,21.77,5.97,48.0,1.48
2015,1,26,3.7,17.66,9.04,72.02,0.95
2015,1,27,0.0,20.23,6.37,66.78,1.74
2015,1,28,0.0,19.1,3.94,47.12,1.76
2015,1,29,0.0,19.77,3.36,43.02,2.02
2015,1,30,0.0,21.06,3.56,39.12,2.17
2015,1,31,0.0,23.65,5.05,34.36,1.88
2015,2,1,0.0,22.39,8.2,37.09,1.34
2015,2,2,0.0,25.06,8.49,43.23,2.15
2015,2,3,0.19,24.77,9.37,55.58,1.8
2015,2,4,0.06,23.51,7.43,61.75,2.03
2015,2,5,0.0,23.52,6.0,45.21,1.64
2015,2,6,0.0,24.58,7.54,37.75,0.92
2015,2,7,0.13,25.02,9.41,43.15,1.04
2015,2,8,0.0,25.8,11.85,45.35,1.16
2015,2,9,0.03,25.81,8.72,48.14,1.58
2015,2,10,0.0,25.36,8.11,41.93,1.73
2015,2,11,0.0,24.7,8.98,39.39,1.42
2015,2,12,0.0,24.86,7.27,37.84,1.39
2015,2,13,0.0,27.62,7.41,30.51,1.86
2015,2,14,0.0,30.22,11.12,34.2,1.07
2015,2,15,0.0,29.21,11.49,35.32,1.15
2015,2,16,0.0,28.59,13.28,36.49,1.63
2015,2,17,0.0,28.55,11.5,42.69,1.12
2015,2,18,0.0,28.94,12.59,39.47,0.9
2015,2,19,0.01,30.43,13.95,38.83,1.49
2015,2,20,0.82,31.77,13.52,41.78,1.18
2015,2,21,0.0,31.0,15.02,37.12,1.92
2015,2,22,0.0,31.95,14.14,42.98,2.46
2015,2,23,0.0,28.82,15.38,40.35,1.26
2015,2,24,0.0,29.05,15.95,37.47,1.18
2015,2,25,0.03,31.53,15.38,34.47,2.37
2015,2,26,1.57,26.22,9.54,26.86,1.65
