-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.69   longitude 76.85 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 423.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.8,10.26,39.39,1.14
2015,1,2,4.35,22.9,11.34,52.59,1.27
2015,1,3,6.82,18.57,10.63,67.64,0.85
2015,1,4,0.09,19.64,8.63,57.85,2.48
2015,1,5,0.0,21.41,7.25,39.43,3.76
2015,1,6,0.0,22.69,8.56,40.25,2.63
2015,1,7,0.0,20.61,7.63,44.91,2.29
2015,1,8,0.0,22.39,6.84,41.41,1.92
2015,1,9,0.0,21.76,6.67,38.91,1.94
2015,1,10,0.0,21.8,5.47,34.76,2.82
2015,1,11,0.0,22.72,6.0,31.44,2.65
2015,1,12,0.0,23.2,7.43,30.92,2.15
2015,1,13,0.0,21.79,9.21,35.22,1.43
2015,1,14,6.64,13.35,7.96,65.38,1.47
2015,1,15,0.0,20.75,6.78,61.66,1.34
2015,1,16,0.0,22.02,7.72,56.69,1.61
2015,1,17,0.0,20.87,7.41,46.26,2.0
2015,1,18,0.0,21.48,6.27,40.48,2.39
2015,1,19,0.0,21.57,8.75,37.5,1.61
2015,1,20,0.0,20.83,6.79,43.22,1.29
2015,1,21,1.41,18.94,6.64,51.78,1.93
2015,1,22,5.31,14.99,9.97,79.3,2.37
2015,1,23,0.27,19.48,8.93,73.75,1.11
2015,1,24,0.0,21.08,7.51,61.58,1.77
2015,1,25,0.0,20.07,8.43,50.14,1.46
2015,1,26,1.77,19.43,8.3,49.7,1.08
2015,1,27,0.83,17.74,7.12,60.68,1.53
2015,1,28,0.0,18.94,6.14,52.89,1.73
2015,1,29,0.0,17.58,6.86,43.61,1.82
2015,1,30,0.0,19.88,5.15,43.26,3.12
2015,1,31,0.0,21.97,5.86,37.69,2.64
