-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.39   longitude 76.97 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 237.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.31,7.17,40.6,1.21
2015,1,2,3.77,22.58,11.05,54.1,1.2
2015,1,3,6.74,17.86,10.15,76.13,0.7
2015,1,4,0.0,20.81,6.68,60.93,2.38
2015,1,5,0.0,21.52,6.13,43.27,3.81
2015,1,6,0.0,22.09,7.83,49.44,2.56
2015,1,7,0.0,21.27,6.01,51.14,2.07
2015,1,8,0.0,21.82,4.84,45.0,2.0
2015,1,9,0.0,20.48,4.23,40.73,1.65
2015,1,10,0.0,21.13,3.67,38.34,2.41
2015,1,11,0.0,23.27,3.96,34.33,2.4
2015,1,12,0.0,23.87,4.46,33.27,1.63
2015,1,13,0.0,21.99,5.48,38.12,1.9
2015,1,14,3.68,16.67,6.8,61.15,1.87
2015,1,15,0.0,19.8,4.87,71.9,1.43
2015,1,16,0.0,21.82,5.45,66.34,1.61
2015,1,17,0.0,22.59,6.3,51.0,2.14
2015,1,18,0.0,22.73,4.98,46.06,2.09
2015,1,19,0.0,22.24,6.3,43.43,1.51
2015,1,20,0.0,20.78,6.15,43.16,1.15
2015,1,21,1.29,19.31,6.37,46.37,1.64
2015,1,22,5.25,16.86,9.38,79.44,1.7
2015,1,23,1.16,20.51,8.17,72.43,1.13
2015,1,24,0.0,21.51,5.97,58.9,1.81
2015,1,25,0.0,20.48,5.97,48.2,1.61
2015,1,26,2.07,20.22,6.76,52.28,0.79
2015,1,27,0.03,19.15,6.51,53.37,1.89
2015,1,28,0.0,19.15,4.76,50.92,2.14
2015,1,29,0.0,19.06,3.29,41.74,2.13
2015,1,30,0.0,20.77,3.81,41.65,2.88
2015,1,31,0.0,23.23,4.75,39.02,2.44
2015,2,1,0.0,23.21,7.19,39.03,1.26
2015,2,2,0.82,23.92,8.51,43.04,1.76
2015,2,3,5.59,22.03,10.34,59.77,2.66
2015,2,4,0.32,23.35,7.85,63.89,2.24
2015,2,5,0.0,24.01,5.49,48.91,2.09
2015,2,6,0.0,23.22,7.5,44.19,1.27
2015,2,7,0.0,24.01,9.13,41.04,1.13
2015,2,8,0.0,25.11,11.42,43.68,2.01
2015,2,9,0.0,25.22,8.66,49.76,2.06
2015,2,10,0.0,24.6,7.53,41.0,1.99
2015,2,11,0.0,23.3,7.82,39.36,1.57
2015,2,12,0.0,25.32,6.68,37.3,2.09
2015,2,13,0.0,26.08,6.62,35.27,2.22
2015,2,14,0.0,29.67,12.79,37.07,1.3
2015,2,15,0.0,28.91,12.7,37.88,1.25
2015,2,16,0.06,27.37,11.79,39.8,2.07
2015,2,17,0.0,27.85,12.15,46.55,1.04
2015,2,18,0.0,28.1,13.69,42.29,1.19
2015,2,19,0.01,29.39,12.99,40.23,1.62
2015,2,20,3.89,29.06,14.06,47.01,1.55
2015,2,21,0.01,30.28,12.98,43.55,2.72
2015,2,22,0.0,31.14,13.6,46.43,3.24
2015,2,23,0.0,27.77,14.33,44.7,1.22
2015,2,24,0.0,27.52,16.47,41.17,1.31
2015,2,25,2.72,26.31,11.14,47.34,2.02
2015,2,26,0.0,24.94,7.19,27.92,1.53
2015,2,27,0.35,25.43,8.36,29.37,1.49
2015,2,28,0.31,25.83,9.76,36.68,1.1
2015,3,1,34.1,18.57,12.7,83.62,4.5
2015,3,2,34.99,18.1,11.92,87.28,2.86
2015,3,3,2.54,22.6,10.19,66.65,1.31
2015,3,4,0.0,23.4,7.9,58.67,2.06
2015,3,5,0.0,25.91,9.86,53.01,1.41
2015,3,6,0.47,26.54,10.81,59.93,1.8
2015,3,7,4.52,27.11,11.33,60.18,1.37
2015,3,8,2.05,25.47,13.48,60.63,1.88
2015,3,9,2.4,23.32,7.11,53.04,2.28
2015,3,10,0.0,26.42,8.46,52.15,2.38
2015,3,11,0.0,28.21,9.73,44.21,1.61
2015,3,12,0.0,29.49,12.52,42.85,1.78
2015,3,13,0.0,30.13,14.27,41.92,1.15
2015,3,14,0.19,27.13,15.83,56.19,1.23
2015,3,15,6.32,25.63,14.81,67.74,3.29
2015,3,16,5.83,23.92,13.84,74.13,2.2
2015,3,17,0.0,26.54,12.22,61.99,2.36
2015,3,18,0.0,27.74,11.98,56.63,2.95
2015,3,19,0.0,29.19,10.89,48.55,1.96
2015,3,20,0.0,31.36,12.97,42.33,1.89
2015,3,21,0.0,32.12,15.29,46.34,1.93
2015,3,22,0.0,33.48,16.2,47.51,2.72
2015,3,23,0.0,34.04,15.9,46.81,2.42
2015,3,24,0.0,35.55,16.41,35.74,1.41
2015,3,25,0.0,36.01,20.71,34.12,1.16
2015,3,26,0.0,36.2,18.71,39.67,1.56
2015,3,27,0.0,36.54,20.01,37.93,2.25
2015,3,28,0.0,36.56,17.5,33.38,1.93
2015,3,29,2.97,30.33,17.7,49.66,2.88
2015,3,30,7.43,25.91,17.2,71.86,3.22
2015,3,31,0.0,31.14,17.12,54.26,1.44
2015,4,1,0.86,32.79,19.71,48.67,1.25
2015,4,2,0.27,33.86,18.23,48.5,1.36
2015,4,3,17.42,29.05,20.06,56.77,1.92
2015,4,4,8.07,25.15,16.99,70.62,1.16
2015,4,5,0.01,31.28,14.56,57.79,1.39
2015,4,6,0.0,32.13,15.83,47.46,1.78
2015,4,7,0.42,30.75,18.14,45.96,1.4
2015,4,8,1.41,31.71,18.71,47.32,1.55
2015,4,9,0.07,33.07,15.91,47.88,2.43
2015,4,10,0.0,34.87,16.45,44.94,2.28
2015,4,11,0.0,36.48,20.56,35.27,1.06
2015,4,12,1.12,32.03,19.98,45.03,0.96
2015,4,13,0.68,32.92,20.74,48.2,1.14
2015,4,14,2.19,32.33,19.05,56.0,1.1
2015,4,15,5.41,33.34,20.61,50.5,0.84
