-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  32.27   longitude 75.65 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1054.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,19.87,7.74,37.0,1.38
2015,1,2,0.08,19.15,7.12,38.62,1.49
2015,1,3,0.52,16.05,6.95,50.76,1.22
2015,1,4,0.02,15.31,6.44,47.94,1.39
2015,1,5,0.0,17.42,6.67,35.83,1.44
2015,1,6,0.0,18.92,8.75,35.22,1.53
2015,1,7,0.0,17.49,7.03,37.6,1.4
2015,1,8,0.0,19.22,8.01,24.33,1.28
2015,1,9,0.0,18.42,7.87,23.59,1.28
2015,1,10,0.0,19.62,7.07,21.99,1.53
2015,1,11,0.0,21.44,10.03,20.22,1.47
2015,1,12,0.0,19.91,10.6,23.8,1.18
2015,1,13,1.35,15.5,6.15,39.47,0.84
2015,1,14,4.93,11.69,6.1,74.35,0.92
2015,1,15,0.0,16.18,5.71,61.37,1.45
2015,1,16,0.0,17.37,7.21,44.87,1.37
2015,1,17,0.0,17.28,7.54,37.5,1.3
2015,1,18,0.0,17.53,7.57,31.09,1.44
2015,1,19,0.0,18.22,6.98,32.7,1.45
2015,1,20,0.0,18.03,7.82,35.25,1.19
2015,1,21,11.36,14.45,5.56,59.66,1.58
2015,1,22,3.53,9.5,5.2,91.35,1.08
2015,1,23,0.1,12.9,5.83,80.77,1.04
2015,1,24,0.0,14.66,6.14,63.96,1.11
2015,1,25,0.0,14.84,6.59,59.23,1.32
2015,1,26,0.01,14.04,4.93,54.64,1.18
2015,1,27,0.01,11.53,3.54,61.35,1.44
2015,1,28,0.0,14.75,4.41,48.59,1.42
2015,1,29,0.05,9.72,4.69,52.69,0.57
2015,1,30,0.0,15.79,4.51,39.23,1.54
2015,1,31,0.0,17.26,7.91,36.35,1.33
2015,2,1,0.04,17.55,6.73,51.32,1.7
2015,2,2,4.53,15.28,6.78,66.92,1.33
2015,2,3,17.78,9.47,5.67,88.32,1.46
2015,2,4,0.01,17.06,5.84,55.45,1.22
2015,2,5,0.01,18.74,6.88,36.0,1.32
2015,2,6,0.0,16.7,7.82,41.66,1.3
2015,2,7,0.03,17.27,8.28,46.29,1.24
2015,2,8,0.67,17.04,5.91,62.35,1.29
2015,2,9,0.0,19.02,7.58,50.05,1.45
2015,2,10,0.0,20.17,8.46,40.11,1.66
2015,2,11,0.0,20.33,9.83,37.25,1.4
2015,2,12,0.0,20.29,8.02,34.81,1.8
2015,2,13,0.0,21.13,9.19,36.86,1.63
2015,2,14,0.0,22.49,8.72,50.32,1.82
2015,2,15,0.16,23.54,10.47,46.53,1.5
2015,2,16,12.65,19.0,10.4,65.42,2.11
2015,2,17,2.1,20.71,9.72,60.96,1.35
2015,2,18,4.29,19.05,9.44,61.47,1.34
2015,2,19,18.12,16.62,9.31,66.64,2.08
2015,2,20,11.11,15.15,8.52,77.04,2.01
2015,2,21,0.02,22.52,9.57,56.02,1.72
2015,2,22,0.0,26.31,11.71,43.14,1.72
2015,2,23,0.02,22.21,14.62,45.78,0.99
2015,2,24,2.0,23.78,13.12,53.12,1.16
2015,2,25,22.19,15.11,7.68,83.97,3.66
2015,2,26,0.1,15.6,6.0,60.32,1.49
2015,2,27,0.0,16.59,6.96,46.76,1.28
2015,2,28,0.65,16.5,8.44,52.75,1.09
2015,3,1,42.84,13.2,6.74,84.75,2.67
2015,3,2,37.34,8.97,6.99,96.04,2.49
