-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.34   longitude 76.4 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 256.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.61,8.72,40.07,1.32
2015,1,2,2.28,23.76,10.23,48.63,0.81
2015,1,3,4.89,19.49,8.89,69.45,0.88
2015,1,4,0.0,20.07,7.05,55.39,1.97
2015,1,5,0.0,20.73,4.64,44.4,2.56
2015,1,6,0.0,21.76,6.13,46.82,1.99
2015,1,7,0.0,21.54,5.79,49.01,1.77
2015,1,8,0.0,22.28,5.17,42.75,1.62
2015,1,9,0.0,20.95,6.34,39.9,1.46
2015,1,10,0.0,21.41,3.45,39.77,2.08
2015,1,11,0.0,22.69,3.88,35.03,2.11
2015,1,12,0.0,23.67,6.29,31.58,1.45
2015,1,13,0.0,22.06,5.31,38.16,1.8
2015,1,14,7.75,15.64,8.19,68.15,1.76
2015,1,15,0.0,19.93,6.06,70.55,1.44
2015,1,16,0.0,21.92,6.05,62.31,1.64
2015,1,17,0.0,21.79,6.02,48.63,1.78
2015,1,18,0.0,22.36,5.52,42.8,1.92
2015,1,19,0.0,22.26,8.15,40.01,1.3
2015,1,20,0.0,21.32,6.6,44.14,1.21
2015,1,21,1.6,18.21,6.64,55.1,1.9
2015,1,22,7.85,14.11,9.86,86.2,1.9
2015,1,23,0.04,20.01,7.96,73.01,1.09
2015,1,24,0.0,21.1,5.87,62.87,1.7
2015,1,25,0.0,20.08,6.78,51.52,1.43
2015,1,26,0.72,19.51,6.97,50.78,1.04
2015,1,27,0.22,18.23,6.54,53.78,1.58
2015,1,28,0.0,18.97,4.71,52.29,1.89
2015,1,29,0.0,18.76,5.51,42.97,1.74
2015,1,30,0.0,20.89,3.64,45.13,2.38
2015,1,31,0.0,22.72,4.78,40.5,1.95
2015,2,1,0.0,22.85,6.38,38.76,1.29
2015,2,2,5.53,22.81,9.29,44.7,1.49
2015,2,3,11.15,22.31,10.06,69.94,2.27
2015,2,4,0.21,22.65,7.6,65.15,1.92
2015,2,5,0.0,23.63,5.97,51.54,1.9
2015,2,6,0.0,22.73,8.29,44.74,1.21
2015,2,7,0.0,23.78,10.06,40.94,1.13
2015,2,8,0.0,24.06,10.61,48.93,2.48
2015,2,9,0.0,24.61,8.07,53.47,1.85
2015,2,10,0.0,24.8,8.16,43.48,1.7
2015,2,11,0.0,24.5,9.82,41.27,1.46
2015,2,12,0.0,25.13,7.39,38.77,1.82
2015,2,13,0.0,25.54,7.12,38.77,1.82
2015,2,14,0.0,29.26,13.84,38.39,1.38
2015,2,15,0.0,28.32,13.29,41.68,1.33
2015,2,16,0.84,27.34,12.33,44.7,2.38
2015,2,17,1.4,27.89,13.91,49.38,1.1
2015,2,18,0.04,27.3,13.99,47.05,1.31
2015,2,19,0.26,27.33,13.82,46.53,1.45
2015,2,20,6.53,28.27,14.28,53.8,1.52
2015,2,21,0.0,29.44,13.28,49.54,2.42
2015,2,22,0.0,30.44,11.96,53.74,2.56
2015,2,23,0.0,28.39,14.33,48.37,1.09
2015,2,24,0.0,29.46,16.95,44.58,1.49
2015,2,25,6.51,23.5,10.14,53.2,2.84
2015,2,26,0.06,24.2,7.96,31.63,1.2
2015,2,27,0.18,24.09,7.5,38.61,1.32
2015,2,28,0.07,22.47,9.53,42.2,1.56
2015,3,1,43.26,18.74,12.22,81.45,4.01
2015,3,2,30.88,19.07,13.39,84.84,3.4
2015,3,3,3.2,21.53,9.8,70.1,1.33
2015,3,4,0.31,22.26,8.17,66.6,1.96
2015,3,5,0.98,24.2,10.51,65.2,1.74
2015,3,6,0.46,25.02,11.81,62.58,1.68
2015,3,7,2.52,25.65,10.72,63.08,1.42
2015,3,8,4.27,24.07,11.29,69.79,2.66
2015,3,9,1.04,22.07,7.29,63.37,1.85
2015,3,10,0.0,25.6,8.13,56.79,2.11
2015,3,11,0.0,27.29,10.14,48.73,1.4
2015,3,12,0.0,26.46,12.76,47.95,1.39
2015,3,13,0.0,29.01,13.14,39.12,1.2
2015,3,14,3.09,27.14,14.27,56.74,1.34
2015,3,15,4.54,24.4,14.45,69.38,3.01
2015,3,16,10.76,22.99,13.84,77.38,2.67
