-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  28.2   longitude 76.62 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 249.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.04,23.23,8.29,47.97,1.21
2015,1,2,5.55,19.49,10.9,68.38,1.19
2015,1,3,3.88,19.8,9.67,78.69,0.6
2015,1,4,0.0,21.31,7.91,65.61,1.63
2015,1,5,0.0,22.63,6.49,47.72,3.05
2015,1,6,0.0,22.5,6.64,55.15,1.97
2015,1,7,0.0,21.56,7.25,54.67,1.45
2015,1,8,0.0,22.27,5.26,44.38,1.4
2015,1,9,0.0,22.08,4.72,34.83,1.22
2015,1,10,0.0,22.97,4.4,38.64,1.56
2015,1,11,0.0,23.75,4.52,35.46,1.52
2015,1,12,0.0,24.08,6.27,36.36,1.47
2015,1,13,0.0,23.04,5.05,41.89,2.1
2015,1,14,1.49,20.4,6.72,52.84,1.53
2015,1,15,0.0,19.36,4.51,61.18,1.05
2015,1,16,0.0,20.78,5.58,55.74,1.15
2015,1,17,0.0,22.82,6.6,49.34,1.14
2015,1,18,0.0,22.47,6.72,44.23,1.23
2015,1,19,0.0,22.48,6.22,40.6,1.32
2015,1,20,0.0,21.21,5.29,39.28,1.66
2015,1,21,3.5,21.1,7.08,45.16,2.02
2015,1,22,3.81,19.12,9.24,74.4,1.46
2015,1,23,6.14,18.21,7.86,84.59,0.97
2015,1,24,0.0,21.0,6.56,67.44,1.15
2015,1,25,0.0,21.7,6.07,51.15,1.3
2015,1,26,2.6,17.25,7.47,70.16,0.92
2015,1,27,0.0,19.41,5.94,68.66,1.56
