-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  28.89   longitude 76.59 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.01,23.58,7.69,39.71,1.1
2015,1,2,5.78,21.24,11.24,54.76,1.16
2015,1,3,4.95,20.09,10.22,74.33,0.67
2015,1,4,0.0,21.13,7.24,63.23,2.07
2015,1,5,0.0,21.93,6.09,45.37,3.48
2015,1,6,0.0,21.88,6.68,53.81,2.26
2015,1,7,0.0,21.0,6.02,55.58,1.82
2015,1,8,0.0,21.63,4.84,44.91,1.88
2015,1,9,0.0,20.72,4.69,38.48,1.5
2015,1,10,0.0,20.76,3.32,38.61,2.05
2015,1,11,0.0,23.37,3.94,35.0,2.1
2015,1,12,0.0,24.36,4.43,33.94,1.39
2015,1,13,0.0,22.27,4.66,39.46,2.14
2015,1,14,2.58,17.48,6.44,57.93,1.84
2015,1,15,0.0,19.44,4.74,71.36,1.37
2015,1,16,0.0,21.49,5.16,66.02,1.39
2015,1,17,0.0,22.77,6.64,55.9,1.97
2015,1,18,0.0,22.78,5.35,47.87,1.89
2015,1,19,0.0,22.36,6.3,41.24,1.39
2015,1,20,0.0,20.77,5.64,42.5,1.21
2015,1,21,1.8,19.8,6.44,43.92,1.82
2015,1,22,5.44,17.47,9.15,78.07,1.36
2015,1,23,2.21,20.33,8.24,76.28,1.03
