-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.97   longitude 76.53 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 315.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.57,10.36,39.63,1.36
2015,1,2,0.65,23.27,10.0,44.95,1.07
2015,1,3,6.22,19.0,9.06,67.18,1.01
2015,1,4,0.01,19.53,7.53,56.84,1.73
2015,1,5,0.0,20.57,5.3,44.86,2.03
2015,1,6,0.0,21.6,7.19,44.4,1.59
2015,1,7,0.0,21.13,7.79,45.05,1.46
2015,1,8,0.0,21.95,8.2,39.5,1.35
2015,1,9,0.0,21.0,7.1,38.85,1.25
2015,1,10,0.0,21.25,5.33,37.24,1.78
2015,1,11,0.0,22.21,6.37,32.52,1.75
2015,1,12,0.0,22.95,8.54,30.79,1.28
2015,1,13,0.0,21.43,7.59,37.73,1.47
2015,1,14,8.82,13.89,9.08,68.79,1.72
2015,1,15,0.0,20.13,7.64,67.13,1.47
2015,1,16,0.0,21.52,7.63,58.42,1.35
2015,1,17,0.0,21.15,7.93,46.17,1.45
2015,1,18,0.0,21.72,8.22,39.42,1.64
2015,1,19,0.0,21.77,9.01,38.3,1.28
2015,1,20,0.0,20.95,7.4,42.66,1.31
2015,1,21,3.65,18.53,7.27,56.24,1.81
2015,1,22,8.61,13.88,9.91,86.18,1.64
2015,1,23,0.11,18.84,8.7,75.76,1.07
2015,1,24,0.0,20.7,7.07,64.01,1.53
2015,1,25,0.0,19.57,7.91,52.96,1.22
2015,1,26,0.49,19.32,7.85,48.56,0.98
2015,1,27,0.46,17.61,6.73,55.69,1.4
2015,1,28,0.0,18.75,5.33,52.2,1.65
2015,1,29,0.0,17.98,7.11,44.36,1.31
2015,1,30,0.0,20.46,5.19,44.7,2.04
2015,1,31,0.0,22.11,6.54,40.25,1.6
2015,2,1,0.0,22.49,7.09,39.96,1.37
2015,2,2,3.73,22.2,9.88,47.35,1.45
2015,2,3,15.26,21.43,10.95,70.12,2.23
2015,2,4,0.11,22.38,8.58,62.88,1.67
2015,2,5,0.0,22.96,7.79,49.55,1.68
2015,2,6,0.0,21.88,9.59,43.57,1.17
2015,2,7,0.0,23.35,9.76,43.16,1.36
2015,2,8,0.0,23.09,10.41,51.47,2.4
2015,2,9,0.0,24.14,8.92,53.09,1.71
2015,2,10,0.0,24.13,10.54,44.48,1.56
2015,2,11,0.0,23.67,11.51,41.86,1.12
2015,2,12,0.0,24.45,9.48,37.83,1.54
2015,2,13,0.0,24.76,9.32,38.86,1.52
2015,2,14,0.0,28.55,13.7,40.46,1.69
2015,2,15,0.0,27.54,14.13,44.02,1.32
2015,2,16,1.99,26.51,13.52,46.93,2.19
