-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  29.53   longitude 75.02 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.9,6.83,32.62,1.41
2015,1,2,1.03,24.46,8.58,47.07,1.32
2015,1,3,0.55,21.82,9.26,63.23,0.91
2015,1,4,0.0,21.64,9.32,43.28,1.06
2015,1,5,0.0,21.23,6.51,42.47,1.79
2015,1,6,0.0,21.64,6.8,50.34,1.57
2015,1,7,0.0,22.28,8.54,47.32,1.28
2015,1,8,0.0,22.29,7.28,35.89,1.17
2015,1,9,0.0,21.22,7.14,29.19,0.94
2015,1,10,0.0,21.14,6.73,27.33,1.36
2015,1,11,0.0,23.86,6.41,23.15,1.57
2015,1,12,0.0,25.87,7.75,23.48,1.39
2015,1,13,1.37,24.32,5.61,36.38,1.93
2015,1,14,2.64,20.78,7.14,53.06,1.48
2015,1,15,0.27,19.51,5.51,69.59,0.99
2015,1,16,0.0,21.61,5.75,59.22,1.1
2015,1,17,0.0,22.84,8.3,50.6,1.54
2015,1,18,0.0,22.83,8.88,41.39,1.44
2015,1,19,0.0,22.96,7.25,36.12,0.97
2015,1,20,0.0,21.98,5.79,35.95,2.01
2015,1,21,1.37,20.03,8.18,43.9,3.47
2015,1,22,4.69,19.57,10.01,65.85,2.02
2015,1,23,0.19,20.24,7.77,67.2,0.88
2015,1,24,0.0,19.67,6.91,56.93,1.17
2015,1,25,0.0,19.76,7.32,45.96,1.02
2015,1,26,0.01,19.22,6.32,45.98,0.8
2015,1,27,0.02,18.14,6.27,47.9,1.21
2015,1,28,0.0,18.23,4.2,47.96,1.71
