-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  31.45   longitude 74.93 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 224.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.15,6.95,40.24,1.57
2015,1,2,0.01,22.95,7.74,39.02,1.08
2015,1,3,0.62,20.58,8.68,48.9,0.76
2015,1,4,0.13,19.77,6.97,44.68,1.32
2015,1,5,0.0,20.27,4.64,43.49,1.9
2015,1,6,0.0,21.57,5.98,45.05,1.78
2015,1,7,0.0,21.43,4.89,46.69,1.44
2015,1,8,0.0,22.27,4.98,40.46,1.25
2015,1,9,0.0,20.64,7.03,36.26,1.03
2015,1,10,0.0,21.3,3.14,35.8,1.62
2015,1,11,0.0,22.99,3.93,32.55,1.73
2015,1,12,0.0,22.71,7.59,29.02,0.92
2015,1,13,1.25,20.74,5.5,44.26,1.35
2015,1,14,8.08,18.14,8.84,73.8,1.6
2015,1,15,0.0,20.05,6.62,73.97,1.14
2015,1,16,0.0,21.28,5.44,55.76,1.54
2015,1,17,0.0,22.02,5.5,46.44,1.62
2015,1,18,0.0,21.62,5.85,41.8,1.71
2015,1,19,0.0,21.64,7.56,37.29,1.15
2015,1,20,0.0,20.38,8.22,42.01,0.91
2015,1,21,15.23,16.34,6.22,67.74,1.92
2015,1,22,1.52,15.12,8.95,87.6,1.18
2015,1,23,0.11,18.79,8.14,75.29,0.84
2015,1,24,0.0,20.0,5.43,63.84,1.44
2015,1,25,0.0,19.2,5.94,54.44,1.39
2015,1,26,0.0,18.57,6.05,49.33,0.86
2015,1,27,0.0,17.45,5.27,53.32,1.28
2015,1,28,0.0,18.55,4.98,48.9,1.79
2015,1,29,0.0,18.57,5.72,45.99,1.46
2015,1,30,0.0,20.84,3.8,44.42,1.96
2015,1,31,0.0,22.2,4.99,41.9,1.61
2015,2,1,0.0,21.62,5.85,43.97,1.34
2015,2,2,1.08,22.08,9.17,55.78,1.35
2015,2,3,17.07,18.97,10.48,82.48,1.17
2015,2,4,0.0,22.29,6.68,65.57,1.84
2015,2,5,0.0,22.59,4.83,51.89,1.57
2015,2,6,0.0,20.76,7.78,41.47,0.93
2015,2,7,0.0,21.88,8.96,46.82,1.33
2015,2,8,0.0,23.24,10.27,57.06,2.43
2015,2,9,0.0,24.08,7.34,52.18,1.7
2015,2,10,0.0,24.54,8.38,42.77,1.4
2015,2,11,0.0,25.4,10.14,41.22,1.48
2015,2,12,0.0,25.02,8.72,37.29,1.53
2015,2,13,0.0,25.31,7.93,40.74,1.37
2015,2,14,0.0,28.61,12.69,42.53,1.45
2015,2,15,0.0,26.39,11.96,45.55,0.96
2015,2,16,2.33,27.7,11.21,50.77,2.1
2015,2,17,9.48,26.58,12.72,56.02,0.97
2015,2,18,0.19,25.92,13.88,50.25,1.14
2015,2,19,9.56,24.31,13.87,64.8,1.39
2015,2,20,10.02,22.4,12.22,77.87,1.43
2015,2,21,0.0,27.65,12.47,57.9,2.04
2015,2,22,0.0,29.45,11.42,59.88,2.17
2015,2,23,0.0,26.18,13.7,55.13,0.75
2015,2,24,1.89,26.98,15.72,58.27,1.36
2015,2,25,11.23,23.79,9.99,60.8,3.56
2015,2,26,0.0,22.79,8.62,43.6,1.11
2015,2,27,0.0,22.4,6.17,50.95,1.32
2015,2,28,0.05,20.95,8.75,46.61,1.45
2015,3,1,39.16,16.5,11.24,84.32,2.58
2015,3,2,22.45,18.73,12.25,83.28,2.99
2015,3,3,1.01,20.1,9.47,73.2,1.18
2015,3,4,1.29,21.37,7.99,63.41,1.44
2015,3,5,2.59,19.18,9.98,76.24,1.76
2015,3,6,0.0,23.05,10.19,64.77,1.28
2015,3,7,3.56,18.99,9.32,72.12,1.02
2015,3,8,2.19,22.47,9.1,76.62,2.48
2015,3,9,0.02,20.34,6.41,69.82,1.33
2015,3,10,0.0,24.54,6.78,56.75,1.69
2015,3,11,0.0,24.93,8.28,52.66,1.14
2015,3,12,0.0,26.51,11.21,45.75,1.16
2015,3,13,0.0,27.14,11.8,41.41,0.92
2015,3,14,0.29,27.37,14.26,55.75,1.14
2015,3,15,16.65,22.85,14.22,78.94,2.57
2015,3,16,8.09,21.53,14.27,80.49,2.48
2015,3,17,0.04,23.71,11.86,74.86,1.71
2015,3,18,0.0,26.2,10.29,67.41,1.85
2015,3,19,0.0,27.74,11.21,56.24,1.55
2015,3,20,0.0,29.14,12.85,55.89,1.48
2015,3,21,0.0,30.18,15.35,58.92,1.51
2015,3,22,0.0,31.64,15.09,59.45,2.08
2015,3,23,0.0,33.09,15.06,58.54,1.96
2015,3,24,0.02,33.97,18.35,47.41,1.16
2015,3,25,0.08,33.89,18.55,56.04,1.81
2015,3,26,0.0,33.5,18.31,50.15,1.24
2015,3,27,0.0,34.12,16.48,42.25,1.71
2015,3,28,0.14,36.08,16.8,41.38,1.04
2015,3,29,2.6,25.18,18.77,63.73,2.11
2015,3,30,25.17,27.99,17.42,70.71,1.48
2015,3,31,1.04,27.64,16.52,72.17,0.95
2015,4,1,0.65,26.98,18.74,69.84,1.23
2015,4,2,0.87,29.93,18.12,61.81,1.35
2015,4,3,3.5,27.9,17.04,68.42,1.89
2015,4,4,1.07,28.01,16.96,60.94,1.33
2015,4,5,0.17,29.74,15.84,57.96,1.44
2015,4,6,0.36,29.92,16.67,58.91,1.72
2015,4,7,5.94,22.87,17.37,81.16,1.37
2015,4,8,0.05,29.53,16.19,64.35,1.48
2015,4,9,0.0,31.38,15.35,55.45,1.64
2015,4,10,0.0,33.01,17.25,51.07,1.56
2015,4,11,0.03,33.94,19.67,52.52,1.4
2015,4,12,0.56,31.55,19.53,59.8,1.66
2015,4,13,0.0,33.79,18.21,52.04,1.27
2015,4,14,0.0,33.19,18.28,54.86,1.46
2015,4,15,17.22,32.47,19.7,56.6,1.34
2015,4,16,2.38,32.35,20.36,61.2,1.35
2015,4,17,0.0,33.99,18.3,58.18,2.31
