-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  30.13   longitude 77.28 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 318.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.01,24.29,10.45,40.55,0.99
2015,1,2,2.05,22.17,12.55,51.74,1.24
2015,1,3,13.58,16.72,11.85,78.01,0.89
2015,1,4,0.41,21.16,7.81,62.6,2.28
2015,1,5,0.0,23.1,6.72,43.19,3.94
2015,1,6,0.0,23.65,7.53,48.13,2.44
2015,1,7,0.0,21.8,5.93,50.22,2.03
2015,1,8,0.0,22.48,5.35,47.31,1.77
2015,1,9,0.0,21.39,5.43,43.06,1.7
2015,1,10,0.0,23.42,3.55,43.39,2.24
2015,1,11,0.0,24.01,3.5,39.19,1.91
2015,1,12,0.0,24.29,4.24,37.99,1.57
2015,1,13,0.0,22.13,7.41,38.74,1.13
2015,1,14,3.82,15.08,8.02,62.51,1.02
2015,1,15,0.0,20.34,6.95,62.94,1.24
2015,1,16,0.0,21.77,6.92,62.46,1.2
2015,1,17,0.0,21.98,6.1,51.7,1.75
2015,1,18,0.0,22.9,6.21,45.01,2.03
2015,1,19,0.0,22.16,6.62,44.47,1.26
2015,1,20,0.0,20.97,7.24,45.34,1.19
2015,1,21,1.11,20.08,6.53,49.24,1.4
2015,1,22,3.59,15.6,9.8,79.07,2.26
2015,1,23,0.98,20.21,9.23,71.74,1.27
2015,1,24,0.0,22.44,7.23,59.44,2.08
2015,1,25,0.0,21.19,8.13,50.01,1.69
2015,1,26,3.76,20.25,7.81,49.43,0.99
2015,1,27,0.11,18.86,8.43,61.16,1.68
2015,1,28,0.0,19.76,6.53,53.16,1.82
2015,1,29,0.0,18.88,6.5,43.84,2.17
2015,1,30,0.0,21.46,5.3,43.17,3.25
2015,1,31,0.0,23.61,4.44,42.75,2.59
2015,2,1,0.0,23.25,6.62,39.44,1.15
2015,2,2,0.86,23.23,10.66,45.55,1.53
2015,2,3,5.95,22.4,10.97,62.41,2.81
2015,2,4,0.09,24.31,10.1,56.67,1.84
2015,2,5,0.0,24.9,7.36,49.4,2.09
2015,2,6,0.0,23.7,8.7,42.81,1.46
2015,2,7,0.0,24.26,10.75,37.53,1.43
2015,2,8,0.0,25.34,11.82,41.2,2.1
2015,2,9,0.0,25.78,9.82,47.67,2.16
2015,2,10,0.0,25.7,8.96,43.75,2.44
2015,2,11,0.0,23.5,9.97,42.53,1.84
2015,2,12,0.0,25.69,8.59,40.55,2.26
2015,2,13,0.0,25.97,6.8,40.75,2.27
2015,2,14,0.0,29.28,11.53,40.43,1.72
